grid,name,latitude,longitude,Venue Category
"7,5", ,48.8900375,2.236258,Retail
"7,5", ,48.8901378,2.2363277,Retail
"7,5", ,48.8901545,2.2362757,Retail
"7,5", ,48.8903127,2.2363348,Retail
"7,5", ,48.8904586,2.2364075,Retail
"7,6", ,48.8911499,2.2367516,Retail
"7,6", ,48.8912355,2.236788,Retail
"8,6", ,48.8911834,2.2369573,Retail
"8,6", ,48.8912429,2.2370014,Retail
"8,6", ,48.8912516,2.2369746,Retail
"8,6", ,48.8912988,2.2370119,Retail
"8,6", ,48.8914677,2.23714,Retail
"8,6", ,48.8914052,2.2373374,Retail
"8,6", ,48.8914008,2.2373343,Retail
"8,6", ,48.8910812,2.2371011,Retail
"9,5", ,48.8905072,2.2389083,Retail
"9,5", ,48.8908326,2.2391453,Retail
"9,5", ,48.8908239,2.2391732,Retail
"9,5", ,48.8908087,2.2392199,Retail
"9,5", ,48.8908073,2.2392243,Retail
"9,5", ,48.8907896,2.2392806,Retail
"9,5", ,48.8907761,2.2393248,Retail
"9,5", ,48.8907692,2.2393452,Retail
"9,5", ,48.8905512,2.2391843,Retail
"9,5", ,48.8904784,2.2394168,Retail
"9,5", ,48.8904761,2.2394109,Retail
"9,5", ,48.8904178,2.2392713,Retail
"9,5", ,48.8904316,2.2392334,Retail
"9,5", ,48.8904038,2.2391102,Retail
"9,5", ,48.8903262,2.2390522,Retail
"9,5", ,48.8901052,2.2385232,Retail
"9,5", ,48.890139,2.2384177,Retail
"9,5", ,48.8901722,2.238314,Retail
"9,5", ,48.8901865,2.2383487,Retail
"8,5", ,48.8903825,2.237716,Retail
"8,5", ,48.8904385,2.2375428,Retail
"8,5", ,48.8904452,2.2375257,Retail
"8,5", ,48.8904472,2.2375194,Retail
"8,5", ,48.8904757,2.2374297,Retail
"8,5", ,48.8904785,2.2374205,Retail
"8,5", ,48.890511,2.2373188,Retail
"8,5", ,48.8905232,2.2372799,Retail
"8,5", ,48.890534,2.2372463,Retail
"8,5", ,48.8905782,2.2371094,Retail
"8,5", ,48.8906055,2.2370209,Retail
"8,5", ,48.8906368,2.2369216,Retail
"7,5", ,48.8905191,2.236836,Retail
"8,5", ,48.8904962,2.2369087,Retail
"7,5", ,48.890267,2.2367387,Retail
"7,5", ,48.8902878,2.236671,Retail
"7,5", ,48.8901039,2.236536,Retail
"7,5", ,48.8900927,2.2365278,Retail
"7,5", ,48.8900708,2.2365492,Retail
"7,5", ,48.8900166,2.2366021,Retail
"7,5", ,48.8899883,2.2365816,Retail
"7,5", ,48.8900173,2.2364866,Retail
"7,5", ,48.8899912,2.2364073,Retail
"7,5", ,48.8900375,2.236258,Retail
"6,5", ,48.8906974,2.2347419,Retail
"6,5", ,48.8907036,2.2347495,Retail
"6,5", ,48.8906967,2.2347636,Retail
"6,5", ,48.8906919,2.2347782,Retail
"6,5", ,48.8906888,2.2347936,Retail
"6,5", ,48.8906874,2.2348099,Retail
"6,5", ,48.8906878,2.2348264,Retail
"6,5", ,48.8906901,2.2348431,Retail
"6,5", ,48.8906942,2.2348587,Retail
"6,5", ,48.8906959,2.2348634,Retail
"6,5", ,48.8906894,2.2348749,Retail
"6,5", ,48.8906691,2.2349106,Retail
"6,5", ,48.8906731,2.2351147,Retail
"6,5", ,48.8906946,2.2352605,Retail
"6,5", ,48.8907089,2.2352714,Retail
"6,6", ,48.8909298,2.2354405,Retail
"6,6", ,48.8909626,2.2353347,Retail
"6,6", ,48.8910422,2.2353938,Retail
"6,6", ,48.8911021,2.2354383,Retail
"7,6", ,48.8911801,2.2354962,Retail
"7,6", ,48.8911788,2.2355003,Retail
"7,6", ,48.891151,2.2355895,Retail
"7,6", ,48.8914703,2.2358172,Retail
"7,6", ,48.8914582,2.2358558,Retail
"7,6", ,48.8914339,2.2359334,Retail
"7,6", ,48.8914058,2.2360233,Retail
"7,6", ,48.8913691,2.2361391,Retail
"7,6", ,48.891014,2.2359879,Retail
"7,5", ,48.8906492,2.2358323,Retail
"7,5", ,48.8904893,2.2357787,Retail
"7,5", ,48.8903739,2.2357524,Retail
"7,5", ,48.8902258,2.2357233,Retail
"7,5", ,48.8901976,2.2357178,Retail
"7,5", ,48.8902014,2.235706,Retail
"7,5", ,48.8902464,2.2355668,Retail
"7,5", ,48.8903693,2.235657,Retail
"7,5", ,48.890378,2.2356634,Retail
"6,5", ,48.8904539,2.2354292,Retail
"7,5", ,48.890606,2.2355433,Retail
"7,5", ,48.8906206,2.2354941,Retail
"6,5", ,48.8906101,2.235248,Retail
"6,5", ,48.8905972,2.2349716,Retail
"6,5", ,48.8905963,2.2349519,Retail
"6,5", ,48.8905884,2.2347808,Retail
"6,5", ,48.8906269,2.234775,Retail
"6,5", ,48.8906866,2.2347659,Retail
"6,5", ,48.8906936,2.2347489,Retail
"6,5", ,48.8906974,2.2347419,Retail
"7,5", ,48.8902988,2.235777,Retail
"7,5", ,48.8905178,2.2358516,Retail
"7,5", ,48.8903519,2.236214,Retail
"7,5", ,48.8902888,2.2361839,Retail
"7,5", ,48.8901968,2.2361435,Retail
"7,5", ,48.8902825,2.2358761,Retail
"7,5", ,48.8902937,2.2358842,Retail
"7,5", ,48.8903106,2.2358315,Retail
"7,5", ,48.8903224,2.2357945,Retail
"7,5", ,48.8902988,2.235777,Retail
"19,10", ,48.8951655,2.2523763,Retail
"19,10", ,48.8951959,2.2524257,Retail
"19,11", ,48.8953661,2.252656,Retail
"19,11", ,48.895624,2.2531039,Retail
"19,11", ,48.8958356,2.2534701,Retail
"19,10", ,48.8947276,2.2536312,Retail
"19,10", ,48.8945545,2.2533359,Retail
"19,10", ,48.894545,2.2533188,Retail
"19,10", ,48.8945047,2.2532459,Retail
"19,10", ,48.8948735,2.2527615,Retail
"19,10", ,48.8951273,2.2524267,Retail
"19,10", ,48.8951655,2.2523763,Retail
"10,6", ,48.8915588,2.2405663,Retail
"10,7", ,48.8918507,2.2407799,Retail
"10,7", ,48.8917686,2.2410395,Retail
"10,7", ,48.8917576,2.2410741,Retail
"11,7", ,48.8918509,2.2411425,Retail
"11,6", ,48.8915993,2.2419368,Retail
"11,6", ,48.8915959,2.2419475,Retail
"11,6", ,48.8915568,2.2420702,Retail
"11,6", ,48.8915195,2.2421869,Retail
"11,6", ,48.8915129,2.2422076,Retail
"11,6", ,48.8914666,2.2423547,Retail
"11,6", ,48.8914269,2.242481,Retail
"12,6", ,48.8914024,2.2425587,Retail
"12,6", ,48.8913856,2.2426113,Retail
"11,6", ,48.8911867,2.2424695,Retail
"12,6", ,48.8910903,2.2427745,Retail
"12,6", ,48.8910758,2.2428205,Retail
"12,6", ,48.8910529,2.2428925,Retail
"12,6", ,48.8909059,2.2427849,Retail
"11,6", ,48.8911405,2.2420475,Retail
"11,6", ,48.8912869,2.2421552,Retail
"11,6", ,48.8912746,2.2421937,Retail
"11,6", ,48.891299,2.2422117,Retail
"11,6", ,48.8913289,2.2422336,Retail
"11,6", ,48.8913702,2.2421023,Retail
"11,6", ,48.8913839,2.2420595,Retail
"11,6", ,48.8914567,2.2418314,Retail
"10,6", ,48.8917047,2.2410479,Retail
"10,6", ,48.8917078,2.241038,Retail
"10,6", ,48.8914663,2.2408624,Retail
"10,6", ,48.8915588,2.2405663,Retail
"8,12",Apollonia,48.8966134,2.2369344,Retail
"8,12",Apollonia,48.8966305,2.2369961,Retail
"8,12",Apollonia,48.8966447,2.2370492,Retail
"8,12",Apollonia,48.8966519,2.237076,Retail
"8,12",Apollonia,48.8966577,2.2370976,Retail
"8,12",Apollonia,48.8966715,2.2371488,Retail
"8,12",Apollonia,48.8966932,2.2372296,Retail
"8,12",Apollonia,48.8966986,2.2372496,Retail
"8,12",Apollonia,48.8967109,2.2372952,Retail
"8,12",Apollonia,48.8967268,2.2373546,Retail
"8,12",Apollonia,48.8967444,2.2374202,Retail
"8,12",Apollonia,48.8967621,2.237486,Retail
"8,12",Apollonia,48.8967784,2.2375467,Retail
"8,12",Apollonia,48.8967967,2.2376145,Retail
"8,12",Apollonia,48.8968034,2.2376396,Retail
"8,12",Apollonia,48.8967955,2.2376448,Retail
"8,12",Apollonia,48.8968084,2.2376972,Retail
"8,12",Apollonia,48.8968109,2.2377076,Retail
"8,12",Apollonia,48.8968109,2.2377212,Retail
"8,12",Apollonia,48.8968087,2.2377316,Retail
"8,12",Apollonia,48.8968034,2.2377422,Retail
"8,12",Apollonia,48.8967987,2.2377472,Retail
"8,12",Apollonia,48.8967888,2.2377506,Retail
"8,12",Apollonia,48.8967782,2.2377487,Retail
"8,12",Apollonia,48.8967535,2.2377641,Retail
"8,12",Apollonia,48.8967444,2.2377807,Retail
"8,12",Apollonia,48.8967705,2.2378132,Retail
"8,12",Apollonia,48.8967351,2.2378768,Retail
"8,12",Apollonia,48.8967528,2.2378986,Retail
"8,12",Apollonia,48.8966902,2.2379973,Retail
"8,12",Apollonia,48.89666,2.2379949,Retail
"8,12",Apollonia,48.8966023,2.2379905,Retail
"8,12",Apollonia,48.8966031,2.2379741,Retail
"8,12",Apollonia,48.8964501,2.2379613,Retail
"8,12",Apollonia,48.896291,2.237948,Retail
"8,11",Apollonia,48.8962053,2.237731,Retail
"8,11",Apollonia,48.8962085,2.2377016,Retail
