grid,longitude,latitude,mediaFunction,urbanFunction
"0,0",2.22638995,48.88590573,#N/A,retail
"1,0",2.22780185,48.88590573,#N/A,Business and_Professional Services
"2,0",2.22921375,48.88590573,retail and other commercial,landmarks and outdoors
"3,0",2.23062565,48.88590573,#N/A,retail
"4,0",2.23203755,48.88590573,retail and other commercial,retail
"5,0",2.23344945,48.88590573,#N/A,retail
"6,0",2.23486135,48.88590573,retail and other commercial,landmarks and outdoors
"7,0",2.23627325,48.88590573,landmarks and outdoors,landmarks and outdoors
"8,0",2.23768515,48.88590573,#N/A,#N/A
"9,0",2.23909705,48.88590573,#N/A,Business and_Professional Services
"10,0",2.24050895,48.88590573,#N/A,#N/A
"11,0",2.24192085,48.88590573,#N/A,retail
"12,0",2.24333275,48.88590573,retail and other commercial,retail
"13,0",2.24474465,48.88590573,#N/A,#N/A
"14,0",2.24615655,48.88590573,#N/A,retail
"15,0",2.24756845,48.88590573,#N/A,landmarks and outdoors
"16,0",2.24898035,48.88590573,#N/A,Arts and Entertainment
"17,0",2.25039225,48.88590573,#N/A,retail
"18,0",2.25180415,48.88590573,#N/A,Business and_Professional Services
"19,0",2.25321605,48.88590573,retail and other commercial,#N/A
"0,1",2.22638995,48.88684119,#N/A,#N/A
"1,1",2.22780185,48.88684119,#N/A,landmarks and outdoors
"2,1",2.22921375,48.88684119,landmarks and outdoors,#N/A
"3,1",2.23062565,48.88684119,#N/A,landmarks and outdoors
"4,1",2.23203755,48.88684119,Arts and Entertainment,retail
"5,1",2.23344945,48.88684119,#N/A,retail
"6,1",2.23486135,48.88684119,#N/A,#N/A
"7,1",2.23627325,48.88684119,retail and other commercial,Business and_Professional Services
"8,1",2.23768515,48.88684119,#N/A,#N/A
"9,1",2.23909705,48.88684119,#N/A,#N/A
"10,1",2.24050895,48.88684119,Business and_Professional Services,Business and_Professional Services
"11,1",2.24192085,48.88684119,retail and other commercial,landmarks and outdoors
"12,1",2.24333275,48.88684119,retail and other commercial,landmarks and outdoors
"13,1",2.24474465,48.88684119,#N/A,retail
"14,1",2.24615655,48.88684119,Arts and Entertainment,Business and_Professional Services
"15,1",2.24756845,48.88684119,retail and other commercial,Business and_Professional Services
"16,1",2.24898035,48.88684119,#N/A,Business and_Professional Services
"17,1",2.25039225,48.88684119,landmarks and outdoors,Business and_Professional Services
"18,1",2.25180415,48.88684119,#N/A,Arts and Entertainment
"19,1",2.25321605,48.88684119,landmarks and outdoors,#N/A
"0,2",2.22638995,48.88777665,retail and other commercial,#N/A
"1,2",2.22780185,48.88777665,#N/A,retail
"2,2",2.22921375,48.88777665,#N/A,Business and_Professional Services
"3,2",2.23062565,48.88777665,landmarks and outdoors,Business and_Professional Services
"4,2",2.23203755,48.88777665,#N/A,Arts and Entertainment
"5,2",2.23344945,48.88777665,Business and_Professional Services,Arts and Entertainment
"6,2",2.23486135,48.88777665,#N/A,Business and_Professional Services
"7,2",2.23627325,48.88777665,#N/A,Business and_Professional Services
"8,2",2.23768515,48.88777665,retail and other commercial,Business and_Professional Services
"9,2",2.23909705,48.88777665,Arts and Entertainment,Business and_Professional Services
"10,2",2.24050895,48.88777665,Arts and Entertainment,Business and_Professional Services
"11,2",2.24192085,48.88777665,#N/A,Business and_Professional Services
"12,2",2.24333275,48.88777665,#N/A,Business and_Professional Services
"13,2",2.24474465,48.88777665,#N/A,Arts and Entertainment
"14,2",2.24615655,48.88777665,retail and other commercial,retail
"15,2",2.24756845,48.88777665,Arts and Entertainment,retail
"16,2",2.24898035,48.88777665,Business and_Professional Services,retail
"17,2",2.25039225,48.88777665,landmarks and outdoors,retail
"18,2",2.25180415,48.88777665,landmarks and outdoors,retail
"19,2",2.25321605,48.88777665,retail and other commercial,Business and_Professional Services
"0,3",2.22638995,48.88871212,#N/A,retail
"1,3",2.22780185,48.88871212,Business and_Professional Services,retail
"2,3",2.22921375,48.88871212,#N/A,landmarks and outdoors
"3,3",2.23062565,48.88871212,#N/A,retail
"4,3",2.23203755,48.88871212,#N/A,retail
"5,3",2.23344945,48.88871212,#N/A,landmarks and outdoors
"6,3",2.23486135,48.88871212,landmarks and outdoors,#N/A
"7,3",2.23627325,48.88871212,Business and_Professional Services,Business and_Professional Services
"8,3",2.23768515,48.88871212,Business and_Professional Services,Business and_Professional Services
"9,3",2.23909705,48.88871212,retail and other commercial,Business and_Professional Services
"10,3",2.24050895,48.88871212,#N/A,Business and_Professional Services
"11,3",2.24192085,48.88871212,#N/A,Business and_Professional Services
"12,3",2.24333275,48.88871212,Business and_Professional Services,Business and_Professional Services
"13,3",2.24474465,48.88871212,#N/A,Business and_Professional Services
"14,3",2.24615655,48.88871212,landmarks and outdoors,Arts and Entertainment
"15,3",2.24756845,48.88871212,landmarks and outdoors,retail
"16,3",2.24898035,48.88871212,landmarks and outdoors,landmarks and outdoors
"17,3",2.25039225,48.88871212,landmarks and outdoors,Business and_Professional Services
"18,3",2.25180415,48.88871212,#N/A,Business and_Professional Services
"19,3",2.25321605,48.88871212,#N/A,Business and_Professional Services
"0,4",2.22638995,48.88964758,#N/A,Business and_Professional Services
"1,4",2.22780185,48.88964758,Business and_Professional Services,Business and_Professional Services
"2,4",2.22921375,48.88964758,Business and_Professional Services,Business and_Professional Services
"3,4",2.23062565,48.88964758,Business and_Professional Services,retail
"4,4",2.23203755,48.88964758,#N/A,retail
"5,4",2.23344945,48.88964758,#N/A,landmarks and outdoors
"6,4",2.23486135,48.88964758,Business and_Professional Services,retail
"7,4",2.23627325,48.88964758,Business and_Professional Services,Business and_Professional Services
"8,4",2.23768515,48.88964758,#N/A,Business and_Professional Services
"9,4",2.23909705,48.88964758,landmarks and outdoors,Business and_Professional Services
"10,4",2.24050895,48.88964758,Business and_Professional Services,Arts and Entertainment
"11,4",2.24192085,48.88964758,Business and_Professional Services,Business and_Professional Services
"12,4",2.24333275,48.88964758,Business and_Professional Services,Business and_Professional Services
"13,4",2.24474465,48.88964758,landmarks and outdoors,retail
"14,4",2.24615655,48.88964758,landmarks and outdoors,Business and_Professional Services
"15,4",2.24756845,48.88964758,retail and other commercial,retail
"16,4",2.24898035,48.88964758,landmarks and outdoors,Business and_Professional Services
"17,4",2.25039225,48.88964758,#N/A,landmarks and outdoors
"18,4",2.25180415,48.88964758,#N/A,retail
"19,4",2.25321605,48.88964758,Arts and Entertainment,retail
"0,5",2.22638995,48.89058304,#N/A,Business and_Professional Services
"1,5",2.22780185,48.89058304,#N/A,landmarks and outdoors
"2,5",2.22921375,48.89058304,Business and_Professional Services,retail
"3,5",2.23062565,48.89058304,#N/A,Business and_Professional Services
"4,5",2.23203755,48.89058304,#N/A,Business and_Professional Services
"5,5",2.23344945,48.89058304,#N/A,Business and_Professional Services
"6,5",2.23486135,48.89058304,Business and_Professional Services,retail
"7,5",2.23627325,48.89058304,#N/A,retail
"8,5",2.23768515,48.89058304,retail and other commercial,retail
"9,5",2.23909705,48.89058304,retail and other commercial,retail
"10,5",2.24050895,48.89058304,landmarks and outdoors,Arts and Entertainment
"11,5",2.24192085,48.89058304,retail and other commercial,Business and_Professional Services
"12,5",2.24333275,48.89058304,landmarks and outdoors,retail
"13,5",2.24474465,48.89058304,retail and other commercial,Arts and Entertainment
"14,5",2.24615655,48.89058304,landmarks and outdoors,retail
"15,5",2.24756845,48.89058304,Business and_Professional Services,landmarks and outdoors
"16,5",2.24898035,48.89058304,Business and_Professional Services,Arts and Entertainment
"17,5",2.25039225,48.89058304,#N/A,Arts and Entertainment
"18,5",2.25180415,48.89058304,#N/A,Business and_Professional Services
"19,5",2.25321605,48.89058304,#N/A,Business and_Professional Services
"0,6",2.22638995,48.8915185,#N/A,Business and_Professional Services
"1,6",2.22780185,48.8915185,Business and_Professional Services,landmarks and outdoors
"2,6",2.22921375,48.8915185,#N/A,retail
"3,6",2.23062565,48.8915185,#N/A,Business and_Professional Services
"4,6",2.23203755,48.8915185,#N/A,Business and_Professional Services
"5,6",2.23344945,48.8915185,retail and other commercial,Business and_Professional Services
"6,6",2.23486135,48.8915185,#N/A,retail
"7,6",2.23627325,48.8915185,landmarks and outdoors,retail
"8,6",2.23768515,48.8915185,landmarks and outdoors,retail
"9,6",2.23909705,48.8915185,landmarks and outdoors,landmarks and outdoors
"10,6",2.24050895,48.8915185,retail and other commercial,retail
"11,6",2.24192085,48.8915185,landmarks and outdoors,landmarks and outdoors
"12,6",2.24333275,48.8915185,retail and other commercial,Arts and Entertainment
"13,6",2.24474465,48.8915185,#N/A,Arts and Entertainment
"14,6",2.24615655,48.8915185,retail and other commercial,Arts and Entertainment
"15,6",2.24756845,48.8915185,retail and other commercial,Business and_Professional Services
"16,6",2.24898035,48.8915185,Business and_Professional Services,Business and_Professional Services
"17,6",2.25039225,48.8915185,#N/A,landmarks and outdoors
"18,6",2.25180415,48.8915185,#N/A,landmarks and outdoors
"19,6",2.25321605,48.8915185,#N/A,retail
"0,7",2.22638995,48.89245396,#N/A,Business and_Professional Services
"1,7",2.22780185,48.89245396,#N/A,landmarks and outdoors
"2,7",2.22921375,48.89245396,#N/A,Business and_Professional Services
"3,7",2.23062565,48.89245396,Business and_Professional Services,Arts and Entertainment
"4,7",2.23203755,48.89245396,landmarks and outdoors,retail
"5,7",2.23344945,48.89245396,#N/A,landmarks and outdoors
"6,7",2.23486135,48.89245396,landmarks and outdoors,Arts and Entertainment
"7,7",2.23627325,48.89245396,landmarks and outdoors,landmarks and outdoors
"8,7",2.23768515,48.89245396,landmarks and outdoors,retail
"9,7",2.23909705,48.89245396,landmarks and outdoors,retail
"10,7",2.24050895,48.89245396,retail and other commercial,landmarks and outdoors
"11,7",2.24192085,48.89245396,#N/A,landmarks and outdoors
"12,7",2.24333275,48.89245396,#N/A,Business and_Professional Services
"13,7",2.24474465,48.89245396,#N/A,Business and_Professional Services
"14,7",2.24615655,48.89245396,retail and other commercial,Business and_Professional Services
"15,7",2.24756845,48.89245396,#N/A,Business and_Professional Services
"16,7",2.24898035,48.89245396,#N/A,Business and_Professional Services
"17,7",2.25039225,48.89245396,landmarks and outdoors,Business and_Professional Services
"18,7",2.25180415,48.89245396,#N/A,Arts and Entertainment
"19,7",2.25321605,48.89245396,retail and other commercial,retail
"0,8",2.22638995,48.89338942,Arts and Entertainment,Business and_Professional Services
"1,8",2.22780185,48.89338942,#N/A,landmarks and outdoors
"2,8",2.22921375,48.89338942,#N/A,#N/A
"3,8",2.23062565,48.89338942,Arts and Entertainment,Arts and Entertainment
"4,8",2.23203755,48.89338942,landmarks and outdoors,landmarks and outdoors
"5,8",2.23344945,48.89338942,landmarks and outdoors,landmarks and outdoors
"6,8",2.23486135,48.89338942,landmarks and outdoors,retail
"7,8",2.23627325,48.89338942,landmarks and outdoors,landmarks and outdoors
"8,8",2.23768515,48.89338942,landmarks and outdoors,retail
"9,8",2.23909705,48.89338942,Arts and Entertainment,retail
"10,8",2.24050895,48.89338942,retail and other commercial,landmarks and outdoors
"11,8",2.24192085,48.89338942,#N/A,Business and_Professional Services
"12,8",2.24333275,48.89338942,Business and_Professional Services,Business and_Professional Services
"13,8",2.24474465,48.89338942,#N/A,Business and_Professional Services
"14,8",2.24615655,48.89338942,retail and other commercial,retail
"15,8",2.24756845,48.89338942,#N/A,retail
"16,8",2.24898035,48.89338942,#N/A,retail
"17,8",2.25039225,48.89338942,#N/A,landmarks and outdoors
"18,8",2.25180415,48.89338942,#N/A,Business and_Professional Services
"19,8",2.25321605,48.89338942,retail and other commercial,retail
"0,9",2.22638995,48.89432488,#N/A,landmarks and outdoors
"1,9",2.22780185,48.89432488,#N/A,landmarks and outdoors
"2,9",2.22921375,48.89432488,#N/A,#N/A
"3,9",2.23062565,48.89432488,landmarks and outdoors,retail
"4,9",2.23203755,48.89432488,landmarks and outdoors,landmarks and outdoors
"5,9",2.23344945,48.89432488,#N/A,#N/A
"6,9",2.23486135,48.89432488,landmarks and outdoors,Business and_Professional Services
"7,9",2.23627325,48.89432488,Arts and Entertainment,Business and_Professional Services
"8,9",2.23768515,48.89432488,landmarks and outdoors,retail
"9,9",2.23909705,48.89432488,landmarks and outdoors,Business and_Professional Services
"10,9",2.24050895,48.89432488,#N/A,landmarks and outdoors
"11,9",2.24192085,48.89432488,retail and other commercial,Business and_Professional Services
"12,9",2.24333275,48.89432488,retail and other commercial,Business and_Professional Services
"13,9",2.24474465,48.89432488,#N/A,Business and_Professional Services
"14,9",2.24615655,48.89432488,#N/A,landmarks and outdoors
"15,9",2.24756845,48.89432488,Arts and Entertainment,retail
"16,9",2.24898035,48.89432488,retail and other commercial,retail
"17,9",2.25039225,48.89432488,retail and other commercial,landmarks and outdoors
"18,9",2.25180415,48.89432488,#N/A,landmarks and outdoors
"19,9",2.25321605,48.89432488,landmarks and outdoors,Business and_Professional Services
"0,10",2.22638995,48.89526035,#N/A,retail
"1,10",2.22780185,48.89526035,#N/A,retail
"2,10",2.22921375,48.89526035,#N/A,Business and_Professional Services
"3,10",2.23062565,48.89526035,#N/A,retail
"4,10",2.23203755,48.89526035,#N/A,#N/A
"5,10",2.23344945,48.89526035,landmarks and outdoors,#N/A
"6,10",2.23486135,48.89526035,retail and other commercial,Arts and Entertainment
"7,10",2.23627325,48.89526035,#N/A,retail
"8,10",2.23768515,48.89526035,Business and_Professional Services,Arts and Entertainment
"9,10",2.23909705,48.89526035,retail and other commercial,retail
"10,10",2.24050895,48.89526035,landmarks and outdoors,Business and_Professional Services
"11,10",2.24192085,48.89526035,#N/A,Business and_Professional Services
"12,10",2.24333275,48.89526035,#N/A,Business and_Professional Services
"13,10",2.24474465,48.89526035,retail and other commercial,landmarks and outdoors
"14,10",2.24615655,48.89526035,landmarks and outdoors,landmarks and outdoors
"15,10",2.24756845,48.89526035,#N/A,landmarks and outdoors
