grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"0,0",2.22638995,48.88590573,Retail,Community and Government,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and Professional Services,1
"1,0",2.22780185,48.88590573,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"2,0",2.22921375,48.88590573,Education,Business and Professional Services,Arts and Entertainment,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"3,0",2.23062565,48.88590573,Community and Government,Business and Professional Services,Arts and Entertainment,Education,Health and Medicine,Landmarks and Outdoors,3
"4,0",2.23203755,48.88590573,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"5,0",2.23344945,48.88590573,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"6,0",2.23486135,48.88590573,Travel and Transportation,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,5
"7,0",2.23627325,48.88590573,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"11,0",2.24192085,48.88590573,Retail,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,2
"12,0",2.24333275,48.88590573,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"14,0",2.24615655,48.88590573,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"17,0",2.25039225,48.88590573,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"18,0",2.25180415,48.88590573,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"1,1",2.22780185,48.88684119,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,5
"3,1",2.23062565,48.88684119,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,5
"4,1",2.23203755,48.88684119,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"5,1",2.23344945,48.88684119,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"7,1",2.23627325,48.88684119,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"10,1",2.24050895,48.88684119,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"11,1",2.24192085,48.88684119,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"12,1",2.24333275,48.88684119,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
