grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"1,0",2.22780185,48.88590573,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"2,0",2.22921375,48.88590573,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"3,0",2.23062565,48.88590573,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"4,0",2.23203755,48.88590573,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"5,0",2.23344945,48.88590573,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"10,0",2.24050895,48.88590573,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"14,0",2.24615655,48.88590573,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"18,0",2.25180415,48.88590573,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"0,1",2.22638995,48.88684119,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"11,1",2.24192085,48.88684119,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"12,1",2.24333275,48.88684119,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"13,1",2.24474465,48.88684119,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"14,1",2.24615655,48.88684119,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"15,1",2.24756845,48.88684119,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"16,1",2.24898035,48.88684119,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"17,1",2.25039225,48.88684119,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"18,1",2.25180415,48.88684119,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"19,1",2.25321605,48.88684119,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,3
"5,2",2.23344945,48.88777665,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"8,2",2.23768515,48.88777665,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"9,2",2.23909705,48.88777665,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"10,2",2.24050895,48.88777665,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"11,2",2.24192085,48.88777665,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"12,2",2.24333275,48.88777665,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"13,2",2.24474465,48.88777665,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"15,2",2.24756845,48.88777665,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"16,2",2.24898035,48.88777665,Business and_Professional Services,Landmarks and Outdoors,Arts and Entertainment,Community and Government,Education,Health and Medicine,0
"17,2",2.25039225,48.88777665,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"18,2",2.25180415,48.88777665,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"19,2",2.25321605,48.88777665,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"1,3",2.22780185,48.88871212,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"4,3",2.23203755,48.88871212,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"6,3",2.23486135,48.88871212,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"7,3",2.23627325,48.88871212,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"8,3",2.23768515,48.88871212,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"9,3",2.23909705,48.88871212,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"10,3",2.24050895,48.88871212,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
