grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"0,0",2.22638995,48.88590573,apartments,park, apartments,retail,house,industrial,0
"1,0",2.22780185,48.88590573,park, apartments,residential,hotel,house,industrial,3
"2,0",2.22921375,48.88590573,apartments,school,hotel,residential,house,industrial,0
"3,0",2.23062565,48.88590573,hotel,park,allotments,service,school,residential,3
"4,0",2.23203755,48.88590573,park, apartments,residential,hotel,house,industrial,3
"5,0",2.23344945,48.88590573,garages,house,park,residential,hotel,industrial,3
"6,0",2.23486135,48.88590573,house,apartments, apartments,retail,industrial,meadow,0
"9,0",2.23909705,48.88590573,grass,residential,hotel,house,industrial,meadow,1
"11,0",2.24192085,48.88590573,apartments, apartments,retail,house,industrial,meadow,0
"12,0",2.24333275,48.88590573,apartments, apartments,retail,house,industrial,meadow,0
"13,0",2.24474465,48.88590573,apartments, apartments,retail,house,industrial,meadow,0
"14,0",2.24615655,48.88590573,apartments,grass, apartments,residential,house,industrial,0
"15,0",2.24756845,48.88590573, school,roof,apartments,service,office,residential,3
"16,0",2.24898035,48.88590573,office, apartments,residential,hotel,house,industrial,2
"17,0",2.25039225,48.88590573,office,grass,residential,hotel,house,industrial,2
"18,0",2.25180415,48.88590573,grass,residential,hotel,house,industrial,meadow,1
"19,0",2.25321605,48.88590573,residential, apartments,hotel,house,industrial,meadow,3
"2,1",2.22921375,48.88684119,apartments, apartments,retail,house,industrial,meadow,0
"3,1",2.23062565,48.88684119,office, apartments,residential,hotel,house,industrial,2
"4,1",2.23203755,48.88684119,apartments,office, apartments,retail,house,industrial,0
"5,1",2.23344945,48.88684119,apartments,park, apartments,retail,house,industrial,0
"6,1",2.23486135,48.88684119,apartments,house, apartments,retail,industrial,meadow,0
"7,1",2.23627325,48.88684119,grass,residential,hotel,house,industrial,meadow,1
"9,1",2.23909705,48.88684119,apartments, apartments,retail,house,industrial,meadow,0
"10,1",2.24050895,48.88684119,grass,forest, apartments,residential,house,industrial,1
"11,1",2.24192085,48.88684119,apartments, office,forest,grass,residential,house,0
"12,1",2.24333275,48.88684119,apartments, office, apartments,retail,house,industrial,0
"13,1",2.24474465,48.88684119,grass,apartments, office, apartments,residential,house,1
"14,1",2.24615655,48.88684119,grass,scrub,apartments, apartments,residential,house,1
"15,1",2.24756845,48.88684119,apartments,grass,office,park, apartments,residential,0
"16,1",2.24898035,48.88684119,grass,scrub,office,residential,hotel,house,1
"18,1",2.25180415,48.88684119,tower,office,roof, apartments,recreation_ground,hotel,2
"0,2",2.22638995,48.88777665,residential, apartments,hotel,house,industrial,meadow,3
"1,2",2.22780185,48.88777665,residential,grass,hotel,house,industrial,meadow,1
"2,2",2.22921375,48.88777665,grass,residential,hotel,house,industrial,meadow,1
"3,2",2.23062565,48.88777665,office, apartments,residential,hotel,house,industrial,2
"4,2",2.23203755,48.88777665,office, apartments,residential,hotel,house,industrial,2
"5,2",2.23344945,48.88777665,office,apartments, apartments,retail,house,industrial,2
"6,2",2.23486135,48.88777665,apartments, apartments,retail,house,industrial,meadow,0
"7,2",2.23627325,48.88777665,grass,residential,hotel,house,industrial,meadow,1
"8,2",2.23768515,48.88777665,grass,apartments,scrub, apartments,residential,house,1
"9,2",2.23909705,48.88777665,grass,scrub,apartments, apartments,residential,house,1
"10,2",2.24050895,48.88777665,grass,scrub,apartments, apartments,residential,house,1
"11,2",2.24192085,48.88777665,grass,scrub,residential,hotel,house,industrial,1
"12,2",2.24333275,48.88777665,grass,tower,public,residential,hotel,house,1
"13,2",2.24474465,48.88777665,tower,office, apartments,residential,hotel,house,3
"14,2",2.24615655,48.88777665,office,recreation_ground,tower, apartments,residential,hotel,2
"15,2",2.24756845,48.88777665,office,hotel,grass,park,recreation_ground,residential,2
"16,2",2.24898035,48.88777665,tower,scrub,hotel,office,grass,recreation_ground,3
"17,2",2.25039225,48.88777665,scrub,roof,tower, apartments,recreation_ground,hotel,3
"18,2",2.25180415,48.88777665,scrub,roof,tower, apartments,recreation_ground,hotel,3
"19,2",2.25321605,48.88777665,grass,scrub,residential,hotel,house,industrial,1
"0,3",2.22638995,48.88871212,residential, apartments,hotel,house,industrial,meadow,3
"1,3",2.22780185,48.88871212,residential, grass,grass, apartments,house,industrial,3
"2,3",2.22921375,48.88871212,grass, grass,residential, apartments,house,industrial,1
"3,3",2.23062565,48.88871212,grass,residential,hotel,house,industrial,meadow,1
"4,3",2.23203755,48.88871212,apartments, apartments,retail,house,industrial,meadow,0
"5,3",2.23344945,48.88871212,school,office, apartments,residential,hotel,house,2
"7,3",2.23627325,48.88871212,grass,residential,hotel,house,industrial,meadow,1
"8,3",2.23768515,48.88871212,grass,apartments, apartments,residential,house,industrial,1
"9,3",2.23909705,48.88871212,grass,apartments,scrub, apartments,residential,house,1
"10,3",2.24050895,48.88871212,grass,scrub,tower,apartments, apartments,recreation_ground,1
"11,3",2.24192085,48.88871212,scrub,grass,residential,hotel,house,industrial,3
"12,3",2.24333275,48.88871212,grass,office,scrub,residential,hotel,house,1
"13,3",2.24474465,48.88871212,scrub,tower,apartments,park,office, apartments,3
"14,3",2.24615655,48.88871212,office,scrub,tower, apartments,recreation_ground,hotel,2
"15,3",2.24756845,48.88871212,hotel,office,scrub, apartments,residential,house,3
"16,3",2.24898035,48.88871212,scrub,hotel,grass,residential,house,industrial,3
"17,3",2.25039225,48.88871212,scrub,roof,office, apartments,recreation_ground,hotel,3
"18,3",2.25180415,48.88871212,scrub,roof, apartments,recreation_ground,hotel,house,3
"19,3",2.25321605,48.88871212,scrub,grass,residential,hotel,house,industrial,3
"0,4",2.22638995,48.88964758, grass,residential, apartments,retail,house,industrial,3
"1,4",2.22780185,48.88964758,residential, grass, apartments,retail,house,industrial,3
"2,4",2.22921375,48.88964758,residential,apartments, grass, apartments,retail,house,3
"3,4",2.23062565,48.88964758,apartments,forest, apartments,residential,house,industrial,0
"4,4",2.23203755,48.88964758,apartments,residential, apartments,retail,house,industrial,0
"5,4",2.23344945,48.88964758,residential, apartments,hotel,house,industrial,meadow,3
