grid,mediaFunction
"0,11",Arts and Entertainment
"0,2",retail and other commercial
"0,8",Arts and Entertainment
"1,12",retail and other commercial
"1,3",Business and_Professional Services
"1,4",Business and_Professional Services
"1,6",Business and_Professional Services
"10,1",Business and_Professional Services
"10,10",landmarks and outdoors
"10,11",landmarks and outdoors
"10,2",Arts and Entertainment
"10,4",Business and_Professional Services
"10,5",landmarks and outdoors
"10,6",retail and other commercial
"10,7",retail and other commercial
"10,8",retail and other commercial
"11,1",retail and other commercial
"11,11",retail and other commercial
"11,12",Arts and Entertainment
"11,4",Business and_Professional Services
"11,5",retail and other commercial
"11,6",landmarks and outdoors
"11,9",retail and other commercial
"12,0",retail and other commercial
"12,1",retail and other commercial
"12,12",Business and_Professional Services
"12,3",Business and_Professional Services
"12,4",Business and_Professional Services
"12,5",landmarks and outdoors
"12,6",retail and other commercial
"12,8",Business and_Professional Services
"12,9",retail and other commercial
"13,10",retail and other commercial
"13,4",landmarks and outdoors
"13,5",retail and other commercial
"14,1",Arts and Entertainment
"14,10",landmarks and outdoors
"14,2",retail and other commercial
"14,3",landmarks and outdoors
"14,4",landmarks and outdoors
"14,5",landmarks and outdoors
"14,6",retail and other commercial
"14,7",retail and other commercial
"14,8",retail and other commercial
"15,1",retail and other commercial
"15,2",Arts and Entertainment
"15,3",landmarks and outdoors
"15,4",retail and other commercial
"15,5",Business and_Professional Services
"15,6",retail and other commercial
"15,9",Arts and Entertainment
"16,10",retail and other commercial
"16,12",retail and other commercial
"16,2",Business and_Professional Services
"16,3",landmarks and outdoors
"16,4",landmarks and outdoors
"16,5",Business and_Professional Services
"16,6",Business and_Professional Services
"16,9",retail and other commercial
"17,1",landmarks and outdoors
"17,2",landmarks and outdoors
"17,3",landmarks and outdoors
"17,7",landmarks and outdoors
"17,9",retail and other commercial
"18,10",Business and_Professional Services
"18,2",landmarks and outdoors
"19,0",retail and other commercial
"19,1",landmarks and outdoors
"19,10",retail and other commercial
"19,11",Arts and Entertainment
"19,12",Arts and Entertainment
"19,2",retail and other commercial
"19,4",Arts and Entertainment
"19,7",retail and other commercial
"19,8",retail and other commercial
"19,9",landmarks and outdoors
"2,0",retail and other commercial
"2,1",landmarks and outdoors
"2,11",Arts and Entertainment
"2,12",Arts and Entertainment
"2,4",Business and_Professional Services
"2,5",Business and_Professional Services
"3,12",landmarks and outdoors
"3,2",landmarks and outdoors
"3,4",Business and_Professional Services
"3,7",Business and_Professional Services
"3,8",Arts and Entertainment
"3,9",landmarks and outdoors
"4,0",retail and other commercial
"4,1",Arts and Entertainment
"4,12",landmarks and outdoors
"4,7",landmarks and outdoors
"4,8",landmarks and outdoors
"4,9",landmarks and outdoors
"5,10",landmarks and outdoors
"5,11",Arts and Entertainment
"5,12",Arts and Entertainment
"5,2",Business and_Professional Services
"5,6",retail and other commercial
"5,8",landmarks and outdoors
"6,0",retail and other commercial
"6,10",retail and other commercial
"6,12",landmarks and outdoors
"6,3",landmarks and outdoors
"6,4",Business and_Professional Services
"6,5",Business and_Professional Services
"6,7",landmarks and outdoors
"6,8",landmarks and outdoors
"6,9",landmarks and outdoors
"7,0",landmarks and outdoors
"7,1",retail and other commercial
"7,12",retail and other commercial
"7,3",Business and_Professional Services
"7,4",Business and_Professional Services
"7,6",landmarks and outdoors
"7,7",landmarks and outdoors
"7,8",landmarks and outdoors
"7,9",Arts and Entertainment
"8,10",Business and_Professional Services
"8,11",landmarks and outdoors
"8,2",retail and other commercial
"8,3",Business and_Professional Services
"8,5",retail and other commercial
"8,6",landmarks and outdoors
"8,7",landmarks and outdoors
"8,8",landmarks and outdoors
"8,9",landmarks and outdoors
"9,10",retail and other commercial
"9,11",Arts and Entertainment
"9,2",Arts and Entertainment
"9,3",retail and other commercial
"9,4",landmarks and outdoors
"9,5",retail and other commercial
"9,6",landmarks and outdoors
"9,7",landmarks and outdoors
"9,8",Arts and Entertainment
"9,9",landmarks and outdoors
