grid,Cluster Labels
"0,0",retail
"1,0",Business and_Professional Services
"2,0",landmarks and outdoors
"3,0",retail
"4,0",retail
"5,0",retail
"6,0",landmarks and outdoors
"7,0",landmarks and outdoors
"9,0",Business and_Professional Services
"11,0",retail
"12,0",retail
"14,0",retail
"15,0",landmarks and outdoors
"16,0",Arts and Entertainment
"17,0",retail
"18,0",Business and_Professional Services
"1,1",landmarks and outdoors
"3,1",landmarks and outdoors
"4,1",retail
"5,1",retail
"7,1",Business and_Professional Services
"10,1",Business and_Professional Services
"11,1",landmarks and outdoors
"12,1",landmarks and outdoors
"13,1",retail
"14,1",Business and_Professional Services
"15,1",Business and_Professional Services
"16,1",Business and_Professional Services
"17,1",Business and_Professional Services
"18,1",Arts and Entertainment
"1,2",retail
"2,2",Business and_Professional Services
"3,2",Business and_Professional Services
"4,2",Arts and Entertainment
"5,2",Arts and Entertainment
"6,2",Business and_Professional Services
"7,2",Business and_Professional Services
"8,2",Business and_Professional Services
"9,2",Business and_Professional Services
"10,2",Business and_Professional Services
"11,2",Business and_Professional Services
"12,2",Business and_Professional Services
"13,2",Arts and Entertainment
"14,2",retail
"15,2",retail
"16,2",retail
"17,2",retail
"18,2",retail
"19,2",Business and_Professional Services
"0,3",retail
"1,3",retail
"2,3",landmarks and outdoors
"3,3",retail
"4,3",retail
"5,3",landmarks and outdoors
"7,3",Business and_Professional Services
"8,3",Business and_Professional Services
"9,3",Business and_Professional Services
"10,3",Business and_Professional Services
"11,3",Business and_Professional Services
"12,3",Business and_Professional Services
"13,3",Business and_Professional Services
"14,3",Arts and Entertainment
"15,3",retail
"16,3",landmarks and outdoors
"17,3",Business and_Professional Services
"18,3",Business and_Professional Services
"19,3",Business and_Professional Services
"0,4",Business and_Professional Services
"1,4",Business and_Professional Services
"2,4",Business and_Professional Services
"3,4",retail
"4,4",retail
"5,4",landmarks and outdoors
"6,4",retail
"7,4",Business and_Professional Services
"8,4",Business and_Professional Services
"9,4",Business and_Professional Services
"10,4",Arts and Entertainment
"11,4",Business and_Professional Services
"12,4",Business and_Professional Services
"13,4",retail
"14,4",Business and_Professional Services
"15,4",retail
"16,4",Business and_Professional Services
"17,4",landmarks and outdoors
"18,4",retail
"19,4",retail
"0,5",Business and_Professional Services
"1,5",landmarks and outdoors
"2,5",retail
"3,5",Business and_Professional Services
"4,5",Business and_Professional Services
"5,5",Business and_Professional Services
"6,5",retail
"7,5",retail
"8,5",retail
"9,5",retail
"10,5",Arts and Entertainment
"11,5",Business and_Professional Services
"12,5",retail
"13,5",Arts and Entertainment
"14,5",retail
"15,5",landmarks and outdoors
"16,5",Arts and Entertainment
"17,5",Arts and Entertainment
"18,5",Business and_Professional Services
"19,5",Business and_Professional Services
"0,6",Business and_Professional Services
"1,6",landmarks and outdoors
"2,6",retail
"3,6",Business and_Professional Services
"4,6",Business and_Professional Services
"5,6",Business and_Professional Services
"6,6",retail
"7,6",retail
"8,6",retail
"9,6",landmarks and outdoors
"10,6",retail
"11,6",landmarks and outdoors
"12,6",Arts and Entertainment
"13,6",Arts and Entertainment
"14,6",Arts and Entertainment
"15,6",Business and_Professional Services
"16,6",Business and_Professional Services
"17,6",landmarks and outdoors
"18,6",landmarks and outdoors
"19,6",retail
"0,7",Business and_Professional Services
"1,7",landmarks and outdoors
"2,7",Business and_Professional Services
"3,7",Arts and Entertainment
"4,7",retail
"5,7",landmarks and outdoors
"6,7",Arts and Entertainment
"7,7",landmarks and outdoors
"8,7",retail
"9,7",retail
"10,7",landmarks and outdoors
"11,7",landmarks and outdoors
"12,7",Business and_Professional Services
"13,7",Business and_Professional Services
"14,7",Business and_Professional Services
"15,7",Business and_Professional Services
"16,7",Business and_Professional Services
"17,7",Business and_Professional Services
"18,7",Arts and Entertainment
"19,7",retail
"0,8",Business and_Professional Services
"1,8",landmarks and outdoors
"3,8",Arts and Entertainment
"4,8",landmarks and outdoors
"5,8",landmarks and outdoors
"6,8",retail
"7,8",landmarks and outdoors
"8,8",retail
"9,8",retail
"10,8",landmarks and outdoors
"11,8",Business and_Professional Services
"12,8",Business and_Professional Services
"13,8",Business and_Professional Services
"14,8",retail
"15,8",retail
"16,8",retail
"17,8",landmarks and outdoors
"18,8",Business and_Professional Services
"19,8",retail
"0,9",landmarks and outdoors
"1,9",landmarks and outdoors
"3,9",retail
"4,9",landmarks and outdoors
"6,9",Business and_Professional Services
"7,9",Business and_Professional Services
"8,9",retail
"9,9",Business and_Professional Services
"10,9",landmarks and outdoors
"11,9",Business and_Professional Services
"12,9",Business and_Professional Services
"13,9",Business and_Professional Services
"14,9",landmarks and outdoors
"15,9",retail
"16,9",retail
"17,9",landmarks and outdoors
"18,9",landmarks and outdoors
"19,9",Business and_Professional Services
"0,10",retail
"1,10",retail
"2,10",Business and_Professional Services
"3,10",retail
"6,10",Arts and Entertainment
"7,10",retail
"8,10",Arts and Entertainment
"9,10",retail
"10,10",Business and_Professional Services
"11,10",Business and_Professional Services
"12,10",Business and_Professional Services
"13,10",landmarks and outdoors
"14,10",landmarks and outdoors
"15,10",landmarks and outdoors
"16,10",retail
"17,10",landmarks and outdoors
"18,10",landmarks and outdoors
"19,10",retail
"0,11",retail
"1,11",landmarks and outdoors
"2,11",Business and_Professional Services
"3,11",landmarks and outdoors
"5,11",Business and_Professional Services
"6,11",landmarks and outdoors
"7,11",landmarks and outdoors
"8,11",landmarks and outdoors
"9,11",Business and_Professional Services
"10,11",retail
"11,11",Business and_Professional Services
"12,11",Business and_Professional Services
"13,11",retail
"14,11",Business and_Professional Services
"15,11",Business and_Professional Services
"16,11",retail
"17,11",retail
"18,11",retail
"19,11",retail
"0,12",Arts and Entertainment
"1,12",Arts and Entertainment
"2,12",Business and_Professional Services
"3,12",Business and_Professional Services
"5,12",landmarks and outdoors
"6,12",retail
"7,12",retail
"8,12",retail
"9,12",Business and_Professional Services
"10,12",retail
"11,12",landmarks and outdoors
"12,12",landmarks and outdoors
"13,12",Arts and Entertainment
"14,12",retail
"15,12",retail
"16,12",retail
"17,12",retail
"18,12",landmarks and outdoors
"19,12",retail
