grid,name,latitude,longitude,Venue Category
"19,8",Mamma Mia,48.8927173,2.2534631,Retail
"18,10",Le Garden Café,48.8952642,2.2510855,Retail
"2,5",Billal92chauffeurprivee,48.8901283,2.2285726,Travel and Transportation
"19,5",Indigo Saisons,48.8905088,2.2527033,Travel and Transportation
"13,6",Parking Indigo Courbevoie Coeur Défense,48.89163,2.2442182,Travel and Transportation
"14,10",Coltines,48.8951667,2.2453395,Community and Government
"3,6",Mairie,48.8908698,2.2310336,Community and Government
"16,10",Mairie,48.895246,2.248807,Community and Government
"14,4",Cabinet Dentaire la Défense,48.8897003,2.2457985,Health and Medicine
"8,6",Centre dentaire Santé Care,48.8913582,2.2381634,Health and Medicine
"15,4",Dentist Defense - Dr. Pierre Sultan,48.8893481,2.2470822,Health and Medicine
"17,9",Dentiste Ohana Gabriel-implant Esthétique Dentaire,48.8941478,2.2506978,Health and Medicine
"14,4",Urgences dentaires la defense,48.8895882,2.2464419,Health and Medicine
"19,8",Balastre Edouard,48.8929373,2.2532831,Health and Medicine
"14,8",Cabinet Défense Dentaire Lok-Draï et Nizard,48.8935295,2.2465538,Health and Medicine
"10,11",Centre de santé dentaire Courbevoie La Défense,48.8960228,2.2408019,Health and Medicine
"11,4",Centre dentaire,48.8895351,2.2420462,Health and Medicine
"13,5",Centre Dentaire et Médical ADN - Dentiste la Défense,48.8904556,2.2450646,Health and Medicine
"9,5",Centre Dentaire La Défense,48.8907779,2.2394119,Health and Medicine
"17,2",Centre dentaire OneDDental La Défense Pont de Neuilly,48.8879928,2.2501969,Health and Medicine
"11,2",Dentist - Dr. Jérôme Hirsch,48.8880114,2.2418338,Health and Medicine
"16,9",Dohan Steve,48.8936588,2.2487061,Health and Medicine
"7,7",Dr Attias Jacques,48.89262,2.236232,Health and Medicine
"19,8",Dr Criton Marie,48.8928657,2.2533248,Health and Medicine
"3,8",Dr Elie NATAF Dentiste la Defense,48.8928633,2.230886,Health and Medicine
"9,3",Dr Michel KARSENTI,48.8883829,2.238946,Health and Medicine
"19,8",Dr Sandrine Fellous,48.8928657,2.2533248,Health and Medicine
"14,5",Dr. Michael Berman - Dental Surgeon,48.8901858,2.2455469,Health and Medicine
"11,4",Centre de traumatologie du sport,48.8899133,2.2421118,Health and Medicine
"12,0",Les Petites Fermes,48.88588,2.243191,Retail
"13,5",Gym La Défense - Fitness Park,48.8907702,2.2450834,Landmarks and Outdoors
"7,7",Neoness Gymnasium - La Défense Grande Arche,48.8918887,2.2355169,Landmarks and Outdoors
"16,11",Optical discount,48.8962211,2.2488402,Health and Medicine
"8,5",Swarovski Retail Store La Defense,48.8904528,2.2382537,Retail
"3,11",Conseil départemental des Hauts-de-Seine 92,48.8959325,2.2310222,Community and Government
"17,3",Entrée principale du métro Esplanade de la Défense (sortie 1 quartier Iris),48.8885406,2.2496368,Community and Government
"11,9",Maison des associations - Espace Regnault,48.8942,2.241696,Community and Government
"8,2",Office Public de l'Habitat de la Ville de Puteaux,48.8875876,2.2376686,Community and Government
"13,4",Sameth92,48.8891194,2.2450733,Community and Government
"10,9",Tour Sequoia,48.8940973,2.2401695,Community and Government
"18,11",Hôtel Mercure Paris La Défense,48.8956542,2.251286,Business and Professional Services
"19,12",Le Timgad,48.8967364,2.2529186,Business and Professional Services
"18,4",Dubble La Défense Alto | Healthy Food,48.8897295,2.2511606,Retail
"7,6",Five Guys La Défense,48.8914579,2.236309,Retail
"8,12",Toast and Pizz,48.8964139,2.2372145,Retail
"9,11",edf contact demenagement,48.8958598,2.2394345,Business and Professional Services
"2,0",Taxi animalier,48.8863174,2.2291422,Business and Professional Services
"10,4",Touax Rail,48.8890611,2.240696,Business and Professional Services
"17,7",Parc Diderot,48.8919908,2.2505953,Landmarks and Outdoors
"18,3",[P] Garage À Vélos,48.8882295,2.2514764,Travel and Transportation
"6,0",3 Rue Lavoisier Parking,48.8860756,2.2347332,Travel and Transportation
"17,11",Capricorne,48.8961134,2.250399,Travel and Transportation
"9,12",COURBEVOIE- PARKING JACQUES CARTIER,48.8970084,2.2387035,Travel and Transportation
"19,10",Fontanes,48.894594,2.2529495,Travel and Transportation
"9,11",Onepark - Parking Courbevoie - Public Urbis Park Jacques Cartier,48.8957867,2.2394361,Travel and Transportation
"7,3",Parking Basalte,48.8888526,2.2356095,Travel and Transportation
"10,2",Parking Boieldieu,48.8877454,2.2401777,Travel and Transportation
"10,9",Parking CNIT,48.8938729,2.240491,Travel and Transportation
"11,3",Parking de la Patinoire,48.8886877,2.2423141,Travel and Transportation
"11,6",Q-Park La Défense - Centre - Grande Arche,48.8915376,2.2419103,Travel and Transportation
"18,10",Aprium Pharmacie Charras,48.8952503,2.2518892,Health and Medicine
"7,12",Aprium Pharmacie Léonard de Vinci,48.8967694,2.2362231,Health and Medicine
"19,7",Phamacie Victor Hugo well&well,48.8918647,2.2530909,Health and Medicine
"17,11",Pharmacie Centrale ELSIE Santé,48.895397,2.249534,Health and Medicine
"19,4",Pharmacie des Damiers (Pharmacie Sauloup-Bocquillon),48.8891845,2.252533,Health and Medicine
"9,8",Pharmacie du RER - Boticinal,48.8929321,2.2395605,Health and Medicine
"15,4",Pharmacie Manhattan,48.8895441,2.2474132,Health and Medicine
"9,3",Pharmacy Boieldieu Kiem,48.8883056,2.2392033,Health and Medicine
