grid,fclass,name,longitude,latitude
"6,12",laundry,5àsec,2.235024,48.89639
"14,12",Burger Joint,85 Ozo Maison Burger,2.247355878,48.89774165
"16,11",supermarket,A2pas,2.249191,48.896074
"1,2",kindergarten,Accueil familial Amitié-Rosiers,2.22773,48.88795
"16,9",hotel,Adagio Aparthotel La Défense Kleber,2.248671,48.894326
"1,1",tourist_info,Affichage Libre,2.227205,48.887195
"17,12",restaurant,Affinithé,2.250187,48.896976
"16,9",car_rental,Agence Sixt,2.248898,48.893749
"4,3",restaurant,Al Siwan,2.231749,48.888845
"16,12",optician,Alain Afflelou,2.248313,48.896617
"17,11",hairdresser,Alain Pagès,2.249674,48.895638
"14,8",restaurant,Alfred's Café,2.246267,48.893321
"10,12",convenience,Alimentation Générale,2.240445,48.896947
"4,3",convenience,Alimentation Marcelin Berthelot,2.231371,48.888981
"9,9",Plaza,Allée de l'Arche,2.23929616,48.89485216
"15,9",fast_food,Alyssa,2.247427,48.893801
"19,8",fast_food,Amaken,2.25331,48.892818
"16,2",restaurant,Andrea,2.248299,48.887972
"15,2",fast_food,Anka,2.247614,48.888031
"15,2",Fast Food Restaurant,Ankka,2.247593,48.88789
"15,2",Wine Store,Apogé,2.248301,48.888249
"8,5",Electronics Store,Apple Store,2.2371343,48.890078
"10,12",Turkish Restaurant,Arda Kebab,2.240516245,48.89779807
"0,10",Burger Joint,Aréna Café,2.226179922,48.89539805
"16,11",optician,Art - Optic,2.248837,48.896223
"7,8",college,"Ascencia Business School La Défense, Grande Arche",2.235602,48.893034
"6,8",bicycle_shop,Atelier Cyclofix,2.234782,48.892724
"14,5",restaurant,Au Jardin des Corolles,2.245291,48.890647
"19,8",restaurant,Au Vent du Large,2.252705,48.893362
"7,10",Fast Food Restaurant,Aubrac Corner la Defense,2.236935496,48.89585136
"6,5",Grocery Store / Supermarket,Auchan,2.2350577,48.8912385
"14,7",car_rental,Autolib',2.245368,48.892324
"3,3",Moroccan Restaurant,Aux Delices de Puteaux,2.231247872,48.8891323
"3,4",restaurant,Aux Délices de Puteaux,2.231214,48.889141
"9,10",restaurant,Avant Seine,2.238754,48.894889
"0,11",Financial Service,AXA France Services,2.227746248,48.89641828
"5,0",convenience,AZMARKET,2.234022,48.886053
"15,4",restaurant,Baguettes Chinoises,2.247279,48.889362
"16,3",artwork,Banc public,2.249287,48.888295
"8,9",Snack Place,Bar 6 Pullman,2.239072,48.894982
"16,2",Fountain,Bassin Takis,2.25030899,48.88797203
"16,10",Steakhouse,Beef Cut,2.249815464,48.89560096
"14,4",doctors,Beno?t Gaultier - Ostéopathe D.O.,2.245871,48.889639
"7,5",Cupcake Shop,Berko,2.236507515,48.89109759
