grid,fclass,name,longitude,latitude,fclass
"15,2",wine store,Apogé,2.248301,48.888249,wine store
"7,7",viewpoint,Grande Arche,2.235893,48.892555,viewpoint
"17,12",veterinary,Clinique Vétérinaire A. Ganivet,2.250135,48.89708,veterinary
"0,10",vending_parking, ,2.226158,48.895242,vending_parking
"0,9",vending_parking, ,2.226201,48.89389,vending_parking
"0,9",vending_parking, ,2.225758,48.893919,vending_parking
"1,7",vending_parking, ,2.227986,48.892009,vending_parking
"1,7",vending_parking, ,2.227553,48.892472,vending_parking
"1,9",vending_parking, ,2.227107,48.894214,vending_parking
"10,6",vending_parking, ,2.240814,48.891119,vending_parking
"10,6",vending_parking, ,2.240814,48.891137,vending_parking
"18,4",vending_parking, ,2.252078,48.889215,vending_parking
"3,1",vending_parking, ,2.231087,48.886394,vending_parking
"9,3",vending_parking, ,2.239205,48.888833,vending_parking
"8,8",vending_any,RATP,2.237821,48.892953,vending_any
"10,6",vending_any, ,2.240322,48.891269,vending_any
"10,6",vending_any, ,2.240459,48.891347,vending_any
"11,6",vending_any, ,2.242345,48.890864,vending_any
"19,4",vending_any, ,2.252503,48.889135,vending_any
"6,5",vending_any, ,2.235463,48.890701,vending_any
"6,5",vending_any, ,2.235482,48.890702,vending_any
"7,5",vending_any, ,2.235503,48.890703,vending_any
"7,5",vending_any, ,2.235522,48.890704,vending_any
"7,5",vending_any, ,2.235542,48.890705,vending_any
"7,5",vending_any, ,2.235564,48.890706,vending_any
"7,5",vending_any, ,2.235584,48.890707,vending_any
"7,7",vending_any, ,2.236875,48.892447,vending_any
"8,7",vending_any, ,2.237032,48.892482,vending_any
"8,8",vending_any, ,2.237316,48.892763,vending_any
"8,8",vending_any, ,2.237389,48.892825,vending_any
"8,8",vending_any, ,2.237236,48.892809,vending_any
"8,8",vending_any, ,2.23742,48.892855,vending_any
"8,8",vending_any, ,2.237333,48.892892,vending_any
"8,8",vending_any, ,2.2377,48.893094,vending_any
"8,8",vending_any, ,2.237628,48.893137,vending_any
"10,12",turkish restaurant,Arda Kebab,2.240516245,48.89779807,turkish restaurant
"14,0",tourist_info,PUTEAUX,2.245942,48.886289,tourist_info
"1,5",tourist_info,panneau administratif,2.227973,48.890498,tourist_info
"17,12",tourist_info,Ipm,2.250836,48.896241,tourist_info
"11,6",tourist_info,EPAD Info,2.24238,48.89084,tourist_info
"11,5",tourist_info,Centre - Grande Arche,2.241931,48.890757,tourist_info
"1,1",tourist_info,Affichage Libre,2.227205,48.887195,tourist_info
"10,7",tourist_info, ,2.240965,48.891887,tourist_info
"10,7",tourist_info, ,2.240944,48.891894,tourist_info
"11,6",tourist_info, ,2.242024,48.890938,tourist_info
"16,1",tourist_info, ,2.249078,48.886827,tourist_info
"19,5",tourist_info, ,2.252835,48.890774,tourist_info
"19,5",tourist_info, ,2.252812,48.890781,tourist_info
"19,5",tourist_info, ,2.252823,48.890777,tourist_info
"19,5",tourist_info, ,2.252846,48.89077,tourist_info
"19,5",tourist_info, ,2.252801,48.890785,tourist_info
"19,5",tourist_info, ,2.253293,48.890552,tourist_info
"7,7",tourist_info, ,2.236788,48.892141,tourist_info
"7,7",tourist_info, ,2.236681,48.892196,tourist_info
"8,10",tourist_info, ,2.23777,48.894922,tourist_info
"8,10",tourist_info, ,2.238145,48.894704,tourist_info
"8,11",tourist_info, ,2.237262,48.895914,tourist_info
"8,7",tourist_info, ,2.236977,48.892408,tourist_info
"8,7",tourist_info, ,2.236915,48.892497,tourist_info
"8,7",tourist_info, ,2.237078,48.892538,tourist_info
"8,8",tourist_info, ,2.237349,48.892807,tourist_info
"8,8",tourist_info, ,2.237357,48.892813,tourist_info
