FID,osm_id,code,fclass,name,longitude,latitude,grid
960,3048865611,2561,hairdresser,salon de coiffure,2.226901,48.885737,"0,0"
961,3048865612,2004,post_box, ,2.226876,48.885714,"0,0"
962,3048865613,2305,bar,Le Montalegre,2.226769,48.8857,"0,0"
963,3048865615,2511,convenience, ,2.226678,48.885671,"0,0"
1330,4940881548,2563,car_rental,Rent a Car,2.226407,48.885539,"0,0"
259,1768798727,2301,restaurant,Le P'tit Breton,2.226844,48.894766,"0,10"
951,3024650207,2592,vending_parking, ,2.226158,48.895242,"0,10"
170,1506812685,2561,hairdresser,Biguine,2.226266,48.895894,"0,11"
174,1506812737,2301,restaurant,Les Darons,2.225945,48.895993,"0,11"
656,2304085994,2301,restaurant,O'Ginkgo,2.22683,48.895846,"0,11"
953,3024650216,2902,bench, ,2.226744,48.895421,"0,11"
955,3024650219,2902,bench, ,2.226758,48.895556,"0,11"
956,3024650220,2902,bench, ,2.226695,48.895573,"0,11"
957,3024650221,2906,waste_basket, ,2.226637,48.895578,"0,11"
1356,5308666454,2906,waste_basket, ,2.226782,48.89597,"0,11"
1706,7731663207,2302,fast_food,Spok,2.226442,48.895809,"0,11"
1707,7731666417,2301,restaurant,Jungle Arch,2.226151,48.895902,"0,11"
669,2347599754,2205,playground, ,2.226983,48.888906,"0,3"
1346,5268212085,2561,hairdresser,The Pablo,2.227083,48.888458,"0,3"
1347,5268212086,2502,bakery,Poire de Pains,2.22704,48.888154,"0,3"
1348,5268212087,2511,convenience,Déstockage Alimentaire,2.226866,48.888165,"0,3"
1349,5268212088,2302,fast_food,Mag Bucket,2.226742,48.888475,"0,3"
1870,9355469655,2302,fast_food,Le Dream,2.226963,48.888158,"0,3"
668,2344482872,2903,drinking_water, ,2.225738,48.890962,"0,6"
1872,9355469661,2902,bench, ,2.225747,48.890903,"0,6"
1666,7214191735,2906,waste_basket, ,2.226865,48.892515,"0,7"
1661,7201919165,2205,playground, ,2.226551,48.892908,"0,8"
1662,7201919166,2205,playground, ,2.226515,48.89287,"0,8"
1663,7214161853,2906,waste_basket, ,2.226364,48.893164,"0,8"
1664,7214161854,2903,drinking_water, ,2.226203,48.893149,"0,8"
1665,7214161857,2906,waste_basket, ,2.22651,48.892904,"0,8"
657,2304090305,2906,waste_basket, ,2.226054,48.893822,"0,9"
658,2304090310,2592,vending_parking, ,2.226201,48.89389,"0,9"
659,2304090323,2592,vending_parking, ,2.225758,48.893919,"0,9"
660,2304090330,2004,post_box, ,2.225709,48.893935,"0,9"
1660,7198347741,2031,recycling_glass, ,2.225833,48.893897,"0,9"
1189,4230210912,2701,tourist_info,Affichage Libre,2.227205,48.887195,"1,1"
175,1506812747,2301,restaurant,Lunivia,2.22719,48.894672,"1,10"
950,3020757911,2301,restaurant,Le Piano,2.227159,48.894472,"1,10"
959,3046564818,2725,artwork,Fresques,2.227582,48.894936,"1,10"
1218,4230213214,2031,recycling_glass, ,2.22752,48.894868,"1,10"
1336,5268212075,2301,restaurant,Yoshi Sushi,2.227241,48.894564,"1,10"
1705,7731594918,2541,car_dealership,Toyota,2.228396,48.895336,"1,10"
176,1506812925,2101,pharmacy,Parapharmacie Les Terrasses de l'Arche,2.227806,48.895402,"1,11"
958,3024650222,2301,restaurant,Les Bambins,2.227132,48.895618,"1,11"
1188,4230210661,2906,waste_basket, ,2.227377,48.887524,"1,2"
1190,4230210914,2701,tourist_info,Affichage Libre,2.227402,48.887541,"1,2"
1194,4230210921,2302,fast_food,Burger’ppétit,2.227397,48.887722,"1,2"
1195,4230210933,2302,fast_food,Pizz' Appétit,2.227388,48.887635,"1,2"
1204,4230211600,2906,waste_basket, ,2.227395,48.887779,"1,2"
1868,9355469653,2083,kindergarten,Accueil familial Amitié-Rosiers,2.22773,48.88795,"1,2"
1208,4230211799,2902,bench, ,2.227844,48.888201,"1,3"
1209,4230211867,2902,bench, ,2.228457,48.888497,"1,3"
1344,5268212083,2031,recycling_glass, ,2.227264,48.888222,"1,3"
1345,5268212084,2302,fast_food,Le Pica,2.22718,48.888506,"1,3"
1869,9355469654,2511,convenience,Chez Baba,2.227546,48.888477,"1,3"
670,2347599757,2721,attraction,Serpent,2.22838,48.889302,"1,4"
671,2347599757,2723,monument,Serpent,2.22838,48.889302,"1,4"
12,203902533,2201,theatre,Théatre par le Bas,2.22728,48.890433,"1,5"
931,2958486859,2902,bench, ,2.228082,48.890166,"1,5"
932,2958486860,2902,bench, ,2.228025,48.890173,"1,5"
934,2958486890,2906,waste_basket, ,2.227882,48.890491,"1,5"
935,2958486896,2906,waste_basket, ,2.227944,48.890552,"1,5"
936,2958488766,2701,tourist_info,panneau administratif,2.227973,48.890498,"1,5"
22,240505455,2012,community_centre,Salle polyvalente Espace Gorki,2.228218,48.891102,"1,6"
1215,4230212629,2592,vending_parking, ,2.227986,48.892009,"1,7"
1216,4230212724,2592,vending_parking, ,2.227553,48.892472,"1,7"
