FID,osm_id,code,fclass,name,longitude,latitude,grid
960,3048865611,2561,hairdresser,salon de coiffure,2.226901,48.885737,"0,0"
961,3048865612,2004,post_box, ,2.226876,48.885714,"0,0"
962,3048865613,2305,bar,Le Montalegre,2.226769,48.8857,"0,0"
963,3048865615,2511,convenience, ,2.226678,48.885671,"0,0"
1330,4940881548,2563,car_rental,Rent a Car,2.226407,48.885539,"0,0"
259,1768798727,2301,restaurant,Le P'tit Breton,2.226844,48.894766,"0,10"
951,3024650207,2592,vending_parking, ,2.226158,48.895242,"0,10"
170,1506812685,2561,hairdresser,Biguine,2.226266,48.895894,"0,11"
174,1506812737,2301,restaurant,Les Darons,2.225945,48.895993,"0,11"
656,2304085994,2301,restaurant,O'Ginkgo,2.22683,48.895846,"0,11"
1706,7731663207,2302,fast_food,Spok,2.226442,48.895809,"0,11"
1707,7731666417,2301,restaurant,Jungle Arch,2.226151,48.895902,"0,11"
669,2347599754,2205,playground, ,2.226983,48.888906,"0,3"
1346,5268212085,2561,hairdresser,The Pablo,2.227083,48.888458,"0,3"
1347,5268212086,2502,bakery,Poire de Pains,2.22704,48.888154,"0,3"
1348,5268212087,2511,convenience,Déstockage Alimentaire,2.226866,48.888165,"0,3"
1349,5268212088,2302,fast_food,Mag Bucket,2.226742,48.888475,"0,3"
1870,9355469655,2302,fast_food,Le Dream,2.226963,48.888158,"0,3"
1661,7201919165,2205,playground, ,2.226551,48.892908,"0,8"
1662,7201919166,2205,playground, ,2.226515,48.89287,"0,8"
658,2304090310,2592,vending_parking, ,2.226201,48.89389,"0,9"
659,2304090323,2592,vending_parking, ,2.225758,48.893919,"0,9"
660,2304090330,2004,post_box, ,2.225709,48.893935,"0,9"
1189,4230210912,2701,tourist_info,Affichage Libre,2.227205,48.887195,"1,1"
175,1506812747,2301,restaurant,Lunivia,2.22719,48.894672,"1,10"
950,3020757911,2301,restaurant,Le Piano,2.227159,48.894472,"1,10"
959,3046564818,2725,artwork,Fresques,2.227582,48.894936,"1,10"
1336,5268212075,2301,restaurant,Yoshi Sushi,2.227241,48.894564,"1,10"
1705,7731594918,2541,car_dealership,Toyota,2.228396,48.895336,"1,10"
176,1506812925,2101,pharmacy,Parapharmacie Les Terrasses de l'Arche,2.227806,48.895402,"1,11"
958,3024650222,2301,restaurant,Les Bambins,2.227132,48.895618,"1,11"
1190,4230210914,2701,tourist_info,Affichage Libre,2.227402,48.887541,"1,2"
1194,4230210921,2302,fast_food,Burger’ppétit,2.227397,48.887722,"1,2"
1195,4230210933,2302,fast_food,Pizz' Appétit,2.227388,48.887635,"1,2"
1868,9355469653,2083,kindergarten,Accueil familial Amitié-Rosiers,2.22773,48.88795,"1,2"
1345,5268212084,2302,fast_food,Le Pica,2.22718,48.888506,"1,3"
1869,9355469654,2511,convenience,Chez Baba,2.227546,48.888477,"1,3"
670,2347599757,2721,attraction,Serpent,2.22838,48.889302,"1,4"
671,2347599757,2723,monument,Serpent,2.22838,48.889302,"1,4"
12,203902533,2201,theatre,Théatre par le Bas,2.22728,48.890433,"1,5"
936,2958488766,2701,tourist_info,panneau administratif,2.227973,48.890498,"1,5"
22,240505455,2012,community_centre,Salle polyvalente Espace Gorki,2.228218,48.891102,"1,6"
1215,4230212629,2592,vending_parking, ,2.227986,48.892009,"1,7"
1216,4230212724,2592,vending_parking, ,2.227553,48.892472,"1,7"
1213,4230212445,2592,vending_parking, ,2.227107,48.894214,"1,9"
1627,7017440222,2121,dentist,Dental Santé,2.240729,48.895988,"10,11"
255,1732342194,2301,restaurant,La Table des Artistes,2.239816,48.896902,"10,12"
464,1947638506,2511,convenience,Alimentation Générale,2.240445,48.896947,"10,12"
465,1948028816,2502,bakery,Boulangerie Patisserie Traiteur,2.240523,48.896481,"10,12"
1626,7017422976,2302,fast_food,Friends & Fries,2.240532,48.896371,"10,12"
1760,7994868374,2502,bakery,Boulangerie Faubourg de l'Arche,2.239827,48.897099,"10,12"
1468,5998658667,2004,post_box, ,2.240127,48.888418,"10,3"
128,1215386256,2004,post_box, ,2.239869,48.890555,"10,5"
177,1506812949,2601,bank,Société Générale,2.240657,48.890364,"10,5"
1159,4084765689,2519,optician,Grand Optical,2.240042,48.890215,"10,5"
10,202289608,2601,bank,BNP Paribas,2.240721,48.891665,"10,6"
127,1215374962,2004,post_box, ,2.240314,48.891271,"10,6"
617,2128086747,2593,vending_any, ,2.240322,48.891269,"10,6"
618,2128086749,2593,vending_any, ,2.240459,48.891347,"10,6"
678,2402805079,2301,restaurant,Cojean,2.24095,48.891677,"10,6"
1459,5995438243,2592,vending_parking, ,2.240814,48.891119,"10,6"
1460,5995438244,2592,vending_parking, ,2.240814,48.891137,"10,6"
147,1355008423,2602,atm, ,2.240009,48.892554,"10,7"
1463,5996489622,2701,tourist_info, ,2.240965,48.891887,"10,7"
1464,5996489623,2701,tourist_info, ,2.240944,48.891894,"10,7"
