grid,gird Longitude,grid Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"0,0",48.88590573,2.22638995,Pizza Naim,48.88575253,2.227217122,Fast Food Restaurant
"0,0",48.88590573,2.22638995,Pizza Naim,48.88575253,2.227217122,Halal Restaurant
"0,0",48.88590573,2.22638995,Le Relais des Bergères,48.88537185,2.225900888,French Restaurant
"0,0",48.88590573,2.22638995,Rond-point des Bergères,48.88510073,2.227166891,Plaza
"1,0",48.88590573,2.22780185,Square president wilson,48.88568535,2.228045277,Park
"1,0",48.88590573,2.22780185,Pizza Naim,48.88575253,2.227217122,Fast Food Restaurant
"1,0",48.88590573,2.22780185,Pizza Naim,48.88575253,2.227217122,Halal Restaurant
"1,0",48.88590573,2.22780185,Rond-point des Bergères,48.88510073,2.227166891,Plaza
"1,0",48.88590573,2.22780185,BNP Paribas,48.8852506,2.227883842,Bank
"2,0",48.88590573,2.22921375,Square president wilson,48.88568535,2.228045277,Park
"5,0",48.88590573,2.23344945,L'Escargot 1903,48.88543655,2.234567776,Gastropub
"5,0",48.88590573,2.23344945,L'Escargot 1903,48.88543655,2.234567776,Brasserie
"6,0",48.88590573,2.23486135,L'Escargot 1903,48.88543655,2.234567776,Gastropub
"6,0",48.88590573,2.23486135,L'Escargot 1903,48.88543655,2.234567776,Brasserie
"11,0",48.88590573,2.24192085,Le Petit Thai,48.88513214,2.242721876,Thai Restaurant
"11,0",48.88590573,2.24192085,Les petites fermes,48.88590296,2.243182961,French Restaurant
"12,0",48.88590573,2.24333275,Les petites fermes,48.88590296,2.243182961,French Restaurant
"12,0",48.88590573,2.24333275,Le Petit Thai,48.88513214,2.242721876,Thai Restaurant
"12,0",48.88590573,2.24333275,Resunga,48.88639883,2.244429588,Indian Restaurant
"12,0",48.88590573,2.24333275,Caffe Chic,48.885069,2.244332,Café
"12,0",48.88590573,2.24333275,Caffe Chic,48.885069,2.244332,French Restaurant
"13,0",48.88590573,2.24474465,Les Fromentiers,48.88601161,2.245834647,Bakery
"13,0",48.88590573,2.24474465,Resunga,48.88639883,2.244429588,Indian Restaurant
