grid,context,datetaken,datetakengranularity,datetakenunknown,description,farm,geo_is_contact,geo_is_family,geo_is_friend,geo_is_public,height_n,id,isfamily,isfriend,ispublic,latitude,license,longitude,owner,place_id,secret,server,title,url_n,views,width_n,woeid,keywords,,Venue Category
"10,4",0,2019/1/8 20:59,0,0,{'_content': 'In Paris la defense area.'},5,0,0,0,1,320,46069332194,0,0,1,48.889147,0,2.240136,98614865@N05,a_GJ6YVQUL.FYR2hzw,9d922af28e,4894,Boiledieu,https://live.staticflickr.com/4894/46069332194_9d922af28e_n.jpg,21506,320,12523323,boiledieu,,
"10,4",0,2019/1/8 20:54,0,0,{'_content': ''},8,0,0,0,1,320,46618252342,0,0,1,48.889352,0,2.240422,98614865@N05,a_GJ6YVQUL.FYR2hzw,fc7f57bf7e,7844,Boiledieu,https://live.staticflickr.com/7844/46618252342_fc7f57bf7e_n.jpg,1213,320,12523323,boiledieu,,
"11,6",0,2019/1/19 18:13,0,0,{'_content': ''},8,0,0,0,1,320,39925305413,0,0,1,48.891389,0,2.241699,15917364@N02,OZm8L3lUV7LeKWG5lw,d7d5a1ed49,7840,Paris La Défense - La tour EDF encadrée par l'Araignée Rouge d'Alexandre Calder.,https://live.staticflickr.com/7840/39925305413_d7d5a1ed49_n.jpg,2852,213,55863561,"edf, tower, frame, spider, alexandr, calder",,
"11,6",0,2019/1/19 18:15,0,0,{'_content': 'Reflets dans une surface vitrée.'},5,0,0,0,1,320,31889663697,0,0,1,48.891389,0,2.241699,15917364@N02,OZm8L3lUV7LeKWG5lw,9d565412a0,4821,Paris - L' Araignée Rouge d'Alexandre Calder à la Défense.,https://live.staticflickr.com/4821/31889663697_9d565412a0_n.jpg,3059,320,55863561,"spider, alexandr, calder",,Arts and Entertainment
"10,6",0,2019/1/19 17:50,0,0,{'_content': 'Merry-go-round at La Défense.'},8,0,0,0,1,320,45928626095,0,0,1,48.891551,0,2.241077,15917364@N02,OZm8L3lUV7LeKWG5lw,482ffc1a09,7911,Paris - Manège à la Défense.,https://live.staticflickr.com/7911/45928626095_482ffc1a09_n.jpg,2920,320,55863561,carousel,,
"10,6",0,2019/1/19 17:41,0,0,{'_content': 'Merry-go-round at La Défense.'},8,0,0,0,1,320,46356692334,0,0,1,48.891551,0,2.241077,15917364@N02,OZm8L3lUV7LeKWG5lw,aa931f34e7,7804,Paris - La Défense    -    Manège,https://live.staticflickr.com/7804/46356692334_aa931f34e7_n.jpg,1715,320,55863561,carousel,,
"8,3",0,2019/1/18 20:31,0,0,"{'_content': ""L'Eurélienne IPA\nBeauce, France""}",5,0,0,0,1,213,46811816271,0,0,1,48.888776,0,2.237799,17671746@N04,OZm8L3lUV7LeKWG5lw,0269445c0c,4885,Usual suspect,https://live.staticflickr.com/4885/46811816271_0269445c0c_n.jpg,1404,320,55863561,suspect,,
"4,8",0,2019/1/18 17:51,0,0,{'_content': '20190118-8349'},8,0,0,0,1,320,31999069297,0,0,1,48.892853,0,2.232542,144115035@N08,OZm8L3lUV7LeKWG5lw,73dca6b28e,7889,Grande arche de la Défense (fragments),https://live.staticflickr.com/7889/31999069297_73dca6b28e_n.jpg,707,213,55863561,"arch, fragment",,Landmarks and Outdoors
"10,7",0,2019/1/17 13:48,0,0,"{'_content': 'Groundhog Day , 1993\n'}",8,0,0,0,1,213,31870164307,0,0,1,48.892345,0,2.240588,17671746@N04,OZm8L3lUV7LeKWG5lw,1e3313f56a,7813,"""You want a prediction about the weather? You're asking the wrong Phil. I'm going to give you a prediction about this winter? It's going to be cold, it's going to be dark and it's going to last you for the rest of your lives!""",https://live.staticflickr.com/7813/31870164307_1e3313f56a_n.jpg,606,320,55863561,"predict, weather, 're, ask, phil, go, predict, winter, go, rest, life",,
"12,5",0,2019/1/16 17:51,0,1,{'_content': ''},8,0,0,0,1,216,32935814668,0,0,1,48.89042,2,2.24273,35971282@N00,a_GJ6YVQUL.FYR2hzw,db301b1957,7921,Arche,https://live.staticflickr.com/7921/32935814668_db301b1957_n.jpg,188,320,12523323,ark,,Landmarks and Outdoors
