grid,longitude,latitude
"0,0",2.22638995,48.88590573
"1,0",2.22780185,48.88590573
"2,0",2.22921375,48.88590573
"3,0",2.23062565,48.88590573
"4,0",2.23203755,48.88590573
"5,0",2.23344945,48.88590573
"6,0",2.23486135,48.88590573
"7,0",2.23627325,48.88590573
"8,0",2.23768515,48.88590573
"9,0",2.23909705,48.88590573
"10,0",2.24050895,48.88590573
"11,0",2.24192085,48.88590573
"12,0",2.24333275,48.88590573
"13,0",2.24474465,48.88590573
"14,0",2.24615655,48.88590573
"15,0",2.24756845,48.88590573
"16,0",2.24898035,48.88590573
"17,0",2.25039225,48.88590573
"18,0",2.25180415,48.88590573
"19,0",2.25321605,48.88590573
"0,1",2.22638995,48.88684119
"1,1",2.22780185,48.88684119
"2,1",2.22921375,48.88684119
"3,1",2.23062565,48.88684119
"4,1",2.23203755,48.88684119
"5,1",2.23344945,48.88684119
"6,1",2.23486135,48.88684119
"7,1",2.23627325,48.88684119
"8,1",2.23768515,48.88684119
"9,1",2.23909705,48.88684119
"10,1",2.24050895,48.88684119
"11,1",2.24192085,48.88684119
"12,1",2.24333275,48.88684119
"13,1",2.24474465,48.88684119
"14,1",2.24615655,48.88684119
"15,1",2.24756845,48.88684119
"16,1",2.24898035,48.88684119
"17,1",2.25039225,48.88684119
"18,1",2.25180415,48.88684119
"19,1",2.25321605,48.88684119
"0,2",2.22638995,48.88777665
"1,2",2.22780185,48.88777665
"2,2",2.22921375,48.88777665
"3,2",2.23062565,48.88777665
"4,2",2.23203755,48.88777665
"5,2",2.23344945,48.88777665
"6,2",2.23486135,48.88777665
"7,2",2.23627325,48.88777665
"8,2",2.23768515,48.88777665
"9,2",2.23909705,48.88777665
"10,2",2.24050895,48.88777665
"11,2",2.24192085,48.88777665
"12,2",2.24333275,48.88777665
"13,2",2.24474465,48.88777665
"14,2",2.24615655,48.88777665
"15,2",2.24756845,48.88777665
"16,2",2.24898035,48.88777665
"17,2",2.25039225,48.88777665
"18,2",2.25180415,48.88777665
"19,2",2.25321605,48.88777665
"0,3",2.22638995,48.88871212
"1,3",2.22780185,48.88871212
"2,3",2.22921375,48.88871212
"3,3",2.23062565,48.88871212
"4,3",2.23203755,48.88871212
"5,3",2.23344945,48.88871212
"6,3",2.23486135,48.88871212
"7,3",2.23627325,48.88871212
"8,3",2.23768515,48.88871212
"9,3",2.23909705,48.88871212
"10,3",2.24050895,48.88871212
"11,3",2.24192085,48.88871212
"12,3",2.24333275,48.88871212
"13,3",2.24474465,48.88871212
"14,3",2.24615655,48.88871212
"15,3",2.24756845,48.88871212
"16,3",2.24898035,48.88871212
"17,3",2.25039225,48.88871212
"18,3",2.25180415,48.88871212
"19,3",2.25321605,48.88871212
"0,4",2.22638995,48.88964758
"1,4",2.22780185,48.88964758
"2,4",2.22921375,48.88964758
"3,4",2.23062565,48.88964758
"4,4",2.23203755,48.88964758
"5,4",2.23344945,48.88964758
"6,4",2.23486135,48.88964758
"7,4",2.23627325,48.88964758
"8,4",2.23768515,48.88964758
"9,4",2.23909705,48.88964758
"10,4",2.24050895,48.88964758
"11,4",2.24192085,48.88964758
"12,4",2.24333275,48.88964758
"13,4",2.24474465,48.88964758
"14,4",2.24615655,48.88964758
"15,4",2.24756845,48.88964758
"16,4",2.24898035,48.88964758
"17,4",2.25039225,48.88964758
"18,4",2.25180415,48.88964758
"19,4",2.25321605,48.88964758
"0,5",2.22638995,48.89058304
"1,5",2.22780185,48.89058304
"2,5",2.22921375,48.89058304
"3,5",2.23062565,48.89058304
"4,5",2.23203755,48.89058304
"5,5",2.23344945,48.89058304
"6,5",2.23486135,48.89058304
"7,5",2.23627325,48.89058304
"8,5",2.23768515,48.89058304
"9,5",2.23909705,48.89058304
"10,5",2.24050895,48.89058304
"11,5",2.24192085,48.89058304
"12,5",2.24333275,48.89058304
"13,5",2.24474465,48.89058304
"14,5",2.24615655,48.89058304
"15,5",2.24756845,48.89058304
"16,5",2.24898035,48.89058304
"17,5",2.25039225,48.89058304
"18,5",2.25180415,48.89058304
"19,5",2.25321605,48.89058304
"0,6",2.22638995,48.8915185
"1,6",2.22780185,48.8915185
"2,6",2.22921375,48.8915185
"3,6",2.23062565,48.8915185
"4,6",2.23203755,48.8915185
"5,6",2.23344945,48.8915185
"6,6",2.23486135,48.8915185
"7,6",2.23627325,48.8915185
"8,6",2.23768515,48.8915185
"9,6",2.23909705,48.8915185
"10,6",2.24050895,48.8915185
"11,6",2.24192085,48.8915185
"12,6",2.24333275,48.8915185
"13,6",2.24474465,48.8915185
"14,6",2.24615655,48.8915185
"15,6",2.24756845,48.8915185
"16,6",2.24898035,48.8915185
"17,6",2.25039225,48.8915185
"18,6",2.25180415,48.8915185
"19,6",2.25321605,48.8915185
"0,7",2.22638995,48.89245396
"1,7",2.22780185,48.89245396
"2,7",2.22921375,48.89245396
"3,7",2.23062565,48.89245396
"4,7",2.23203755,48.89245396
"5,7",2.23344945,48.89245396
"6,7",2.23486135,48.89245396
"7,7",2.23627325,48.89245396
"8,7",2.23768515,48.89245396
"9,7",2.23909705,48.89245396
"10,7",2.24050895,48.89245396
"11,7",2.24192085,48.89245396
"12,7",2.24333275,48.89245396
"13,7",2.24474465,48.89245396
"14,7",2.24615655,48.89245396
"15,7",2.24756845,48.89245396
"16,7",2.24898035,48.89245396
"17,7",2.25039225,48.89245396
"18,7",2.25180415,48.89245396
"19,7",2.25321605,48.89245396
"0,8",2.22638995,48.89338942
"1,8",2.22780185,48.89338942
"2,8",2.22921375,48.89338942
"3,8",2.23062565,48.89338942
"4,8",2.23203755,48.89338942
"5,8",2.23344945,48.89338942
"6,8",2.23486135,48.89338942
"7,8",2.23627325,48.89338942
"8,8",2.23768515,48.89338942
"9,8",2.23909705,48.89338942
"10,8",2.24050895,48.89338942
"11,8",2.24192085,48.89338942
"12,8",2.24333275,48.89338942
"13,8",2.24474465,48.89338942
"14,8",2.24615655,48.89338942
"15,8",2.24756845,48.89338942
"16,8",2.24898035,48.89338942
"17,8",2.25039225,48.89338942
"18,8",2.25180415,48.89338942
"19,8",2.25321605,48.89338942
"0,9",2.22638995,48.89432488
"1,9",2.22780185,48.89432488
"2,9",2.22921375,48.89432488
"3,9",2.23062565,48.89432488
"4,9",2.23203755,48.89432488
"5,9",2.23344945,48.89432488
"6,9",2.23486135,48.89432488
"7,9",2.23627325,48.89432488
"8,9",2.23768515,48.89432488
"9,9",2.23909705,48.89432488
"10,9",2.24050895,48.89432488
"11,9",2.24192085,48.89432488
"12,9",2.24333275,48.89432488
"13,9",2.24474465,48.89432488
"14,9",2.24615655,48.89432488
"15,9",2.24756845,48.89432488
"16,9",2.24898035,48.89432488
"17,9",2.25039225,48.89432488
"18,9",2.25180415,48.89432488
"19,9",2.25321605,48.89432488
"0,10",2.22638995,48.89526035
"1,10",2.22780185,48.89526035
"2,10",2.22921375,48.89526035
"3,10",2.23062565,48.89526035
"4,10",2.23203755,48.89526035
"5,10",2.23344945,48.89526035
"6,10",2.23486135,48.89526035
"7,10",2.23627325,48.89526035
"8,10",2.23768515,48.89526035
"9,10",2.23909705,48.89526035
"10,10",2.24050895,48.89526035
"11,10",2.24192085,48.89526035
"12,10",2.24333275,48.89526035
"13,10",2.24474465,48.89526035
"14,10",2.24615655,48.89526035
"15,10",2.24756845,48.89526035
"16,10",2.24898035,48.89526035
"17,10",2.25039225,48.89526035
"18,10",2.25180415,48.89526035
"19,10",2.25321605,48.89526035
"0,11",2.22638995,48.89619581
"1,11",2.22780185,48.89619581
"2,11",2.22921375,48.89619581
"3,11",2.23062565,48.89619581
"4,11",2.23203755,48.89619581
"5,11",2.23344945,48.89619581
"6,11",2.23486135,48.89619581
"7,11",2.23627325,48.89619581
"8,11",2.23768515,48.89619581
"9,11",2.23909705,48.89619581
"10,11",2.24050895,48.89619581
"11,11",2.24192085,48.89619581
"12,11",2.24333275,48.89619581
"13,11",2.24474465,48.89619581
"14,11",2.24615655,48.89619581
"15,11",2.24756845,48.89619581
"16,11",2.24898035,48.89619581
"17,11",2.25039225,48.89619581
"18,11",2.25180415,48.89619581
"19,11",2.25321605,48.89619581
"0,12",2.22638995,48.89713127
"1,12",2.22780185,48.89713127
"2,12",2.22921375,48.89713127
"3,12",2.23062565,48.89713127
"4,12",2.23203755,48.89713127
"5,12",2.23344945,48.89713127
"6,12",2.23486135,48.89713127
"7,12",2.23627325,48.89713127
"8,12",2.23768515,48.89713127
"9,12",2.23909705,48.89713127
"10,12",2.24050895,48.89713127
"11,12",2.24192085,48.89713127
"12,12",2.24333275,48.89713127
"13,12",2.24474465,48.89713127
"14,12",2.24615655,48.89713127
"15,12",2.24756845,48.89713127
"16,12",2.24898035,48.89713127
"17,12",2.25039225,48.89713127
"18,12",2.25180415,48.89713127
"19,12",2.25321605,48.89713127
