OBJECTID,osm_id,code,fclass,name,ORIG_FID,X,Y,grid
1,13860363,7202,park,Parc André Malraux,0,2.212395400027731,48.89368299957084,
2,13860363,7202,park,Parc André Malraux,0,2.212748800316945,48.89389889981442,
3,13860363,7202,park,Parc André Malraux,0,2.212900099559988,48.89400049982328,
4,13860363,7202,park,Parc André Malraux,0,2.215060999565537,48.895228300146016,
5,13860363,7202,park,Parc André Malraux,0,2.215854299636249,48.89476359976038,
6,13860363,7202,park,Parc André Malraux,0,2.215937200041822,48.89479129977872,
7,13860363,7202,park,Parc André Malraux,0,2.216104699672201,48.89471710031398,
8,13860363,7202,park,Parc André Malraux,0,2.216460899550896,48.89474190001874,
9,13860363,7202,park,Parc André Malraux,0,2.216702899918971,48.89479660038285,
10,13860363,7202,park,Parc André Malraux,0,2.216295499837486,48.89559350043976,
11,13860363,7202,park,Parc André Malraux,0,2.216356699602045,48.895607400361314,
12,13860363,7202,park,Parc André Malraux,0,2.216523399735138,48.895636100425754,
13,13860363,7202,park,Parc André Malraux,0,2.216577299702692,48.89564540031501,
14,13860363,7202,park,Parc André Malraux,0,2.216602499605699,48.89560180028292,
15,13860363,7202,park,Parc André Malraux,0,2.216902999973513,48.895175000026256,
16,13860363,7202,park,Parc André Malraux,0,2.216652299564032,48.89510169988358,
17,13860363,7202,park,Parc André Malraux,0,2.216677500366416,48.89505259959788,
18,13860363,7202,park,Parc André Malraux,0,2.216885199692285,48.89467019976996,
19,13860363,7202,park,Parc André Malraux,0,2.217153200359974,48.89465279968704,
20,13860363,7202,park,Parc André Malraux,0,2.21726350041024,48.89466070023116,
21,13860363,7202,park,Parc André Malraux,0,2.218078900420949,48.8943616001078,
22,13860363,7202,park,Parc André Malraux,0,2.218979700053183,48.893993299850926,
23,13860363,7202,park,Parc André Malraux,0,2.219837299851577,48.89371929980592,
24,13860363,7202,park,Parc André Malraux,0,2.220871600244209,48.89339210036519,
25,13860363,7202,park,Parc André Malraux,0,2.220920800354691,48.89345950005593,
26,13860363,7202,park,Parc André Malraux,0,2.22126029982303,48.89335389986263,
27,13860363,7202,park,Parc André Malraux,0,2.221250499910696,48.893342099858096,
28,13860363,7202,park,Parc André Malraux,0,2.221309499933511,48.893323000056455,
29,13860363,7202,park,Parc André Malraux,0,2.221503499886637,48.89326009967391,
30,13860363,7202,park,Parc André Malraux,0,2.221561700412167,48.89324130024585,
31,13860363,7202,park,Parc André Malraux,0,2.221592200020041,48.89325019993686,
32,13860363,7202,park,Parc André Malraux,0,2.221876900198822,48.89315820019084,
33,13860363,7202,park,Parc André Malraux,0,2.221784899553541,48.89303059988231,
34,13860363,7202,park,Parc André Malraux,0,2.221848999631675,48.892963999688895,
35,13860363,7202,park,Parc André Malraux,0,2.221936400244715,48.89284520014593,
36,13860363,7202,park,Parc André Malraux,0,2.22196039955287,48.89274329976354,
37,13860363,7202,park,Parc André Malraux,0,2.221966700203097,48.892716499966575,
38,13860363,7202,park,Parc André Malraux,0,2.221987899921714,48.89269699996663,
39,13860363,7202,park,Parc André Malraux,0,2.222586399642694,48.89215960018544,
40,13860363,7202,park,Parc André Malraux,0,2.223178700336803,48.89207619975684,
41,13860363,7202,park,Parc André Malraux,0,2.223543999556,48.89226110036952,
42,13860363,7202,park,Parc André Malraux,0,2.223773100048561,48.89255530008711,
43,13860363,7202,park,Parc André Malraux,0,2.22383339959174,48.89277900015077,
44,13860363,7202,park,Parc André Malraux,0,2.224246899774641,48.89262639958872,
45,13860363,7202,park,Parc André Malraux,0,2.224361700032489,48.892584099976254,
46,13860363,7202,park,Parc André Malraux,0,2.22541739979323,48.89224549982998,
47,13860363,7202,park,Parc André Malraux,0,2.225952099809604,48.89170109972605,"0,6"
48,13860363,7202,park,Parc André Malraux,0,2.226189900343684,48.89096440028692,"0,6"
49,13860363,7202,park,Parc André Malraux,0,2.226495200393231,48.89087310021346,"0,6"
50,13860363,7202,park,Parc André Malraux,0,2.226417599692525,48.890762599614334,"0,5"
51,13860363,7202,park,Parc André Malraux,0,2.226308799711376,48.89061209986858,"0,5"
52,13860363,7202,park,Parc André Malraux,0,2.225921799851221,48.890580399665794,"0,5"
53,13860363,7202,park,Parc André Malraux,0,2.2255506001801,48.8905303002332,
54,13860363,7202,park,Parc André Malraux,0,2.225054699614759,48.890411800164486,
55,13860363,7202,park,Parc André Malraux,0,2.224982699891712,48.89012030021172,
56,13860363,7202,park,Parc André Malraux,0,2.224850700099751,48.89029260042321,
57,13860363,7202,park,Parc André Malraux,0,2.22472049985123,48.890427999652495,
58,13860363,7202,park,Parc André Malraux,0,2.224632399565621,48.890440600053694,
59,13860363,7202,park,Parc André Malraux,0,2.224578700146935,48.89047940040405,
60,13860363,7202,park,Parc André Malraux,0,2.223742200242384,48.89054220006256,
61,13860363,7202,park,Parc André Malraux,0,2.223047300392636,48.89059379956427,
62,13860363,7202,park,Parc André Malraux,0,2.223037899779286,48.89053559993806,
63,13860363,7202,park,Parc André Malraux,0,2.222958799908724,48.89051750018257,
64,13860363,7202,park,Parc André Malraux,0,2.222893699784493,48.89049640028866,
65,13860363,7202,park,Parc André Malraux,0,2.222827700338144,48.890468700270326,
66,13860363,7202,park,Parc André Malraux,0,2.222734499997216,48.89040649956036,
67,13860363,7202,park,Parc André Malraux,0,2.222747399872674,48.89053590031159,
68,13860363,7202,park,Parc André Malraux,0,2.222712400057276,48.8906125998916,
69,13860363,7202,park,Parc André Malraux,0,2.222069800281133,48.890674500228045,
