,id,datetime,year,month,day_of_month,day_of_week,hour,minute,second,text,user_id,name,screen_name,follower_count,status_count,lang,lat,lng
20,1.49E+18,2022/1/26 18:07,2022,1,26,2,18,7,32,"I'm at Place de la Nation in Paris, Île-de-France https://t.co/UCEyXoRCia",393704932,Mehmet Emin ATALAY,meatalay,162,18710,,48.848366,2.395921
40,1.49E+18,2022/1/26 19:52,2022,1,26,2,19,52,11,"Isolement et télétravail avec baby J3 - 
Ressenti J14 #covid19 #teletravail #droledevie à Paris 12 https://t.co/A72rA1LEcW",78594000,A U D R E S S I N G,audressing,2559,21554,,48.843073,2.393291
97,1.49E+18,2022/1/27 14:29,2022,1,27,3,14,29,47,https://t.co/IpeVrLS0cS �?Zenith Paris - La Villette https://t.co/ljyjpwqxLu,104606541,Jean Pierre BERNARD,1956jpb,490,17342,,48.894173,2.393204
118,1.49E+18,2022/1/27 16:57,2022,1,27,3,16,57,6,"鈥淔riandise�? r茅alis�?par R茅my Barbe, est au 29e Festival International du Film Fantastique de G茅rardmer. Avec Pierr�?https://t.co/ANFyIGhCTH",35191726,AliasTalents,Alias_Talents,1093,12212,,48.85017,2.39184
77,1.49E+18,2022/1/27 13:32,2022,1,27,3,13,32,40,Vient de publier une photo �?La Petite Halle https://t.co/JgtOm83t38,10824592,inorsotolongo,inorsotolongo,54,148,,48.890254,2.390846
60,1.49E+18,2022/1/26 23:58,2022,1,26,2,23,58,43,Just posted a video @ United States of America https://t.co/ZscUhMeJyI,1.29E+18,Alhambra Studio Foundation,AzizLive360,2351,1239,,48.872217,2.387591
14,1.49E+18,2022/1/26 17:00,2022,1,26,2,17,0,14,"Baie des cochons �? Fromage de tête de cochon noir, huître utah beach, mole #brunoverjus #tableparis #table�?https://t.co/4SiurkaGtm",299797629,Verjus Bruno,bruno_verjus,2038,1880,,48.84876,2.37586
103,1.49E+18,2022/1/27 16:20,2022,1,27,3,16,20,42,Barbezieux forever �?@alexandre_dumasofficiel #brunoverjus #tableparis #table #barbezieux @lafermedelaruchotte �?Ta�?https://t.co/Ym0XedT1sU,299797629,Verjus Bruno,bruno_verjus,2038,1881,,48.84876,2.37586
95,1.49E+18,2022/1/27 14:26,2022,1,27,3,14,26,5,"Vient de publier une photo �?Gilles Drouault, galerie/multiples https://t.co/qkHyv2ECHt",2814533891,"Gilles Drouault, galerie/multiples",GDgaleriemulti,396,2090,,48.858006,2.364954
89,1.49E+18,2022/1/27 14:03,2022,1,27,3,14,3,41,"Paint It Black, 1966 @ Rue de Turenne https://t.co/DIZGx3ZCit",20070643,Raoul Shah,Raouls,1313,5778,,48.860331,2.364676
112,1.49E+18,2022/1/27 16:30,2022,1,27,3,16,30,53,"芦聽Even hearts made out of steel can break down.聽禄

I鈥檓 not { J O A N of A R C - Louise Ciccone } �?LA MANGERIE https://t.co/FFYUaSlZhA",254763396,Black Velvet Inferno,_LeMale,608,105278,,48.85569,2.36281
122,1.49E+18,2022/1/27 17:16,2022,1,27,3,17,16,19,"""Certains hommes esp茅raient entrer dans l'histoire. Nous 茅tions quelques-uns �?pr茅f茅rer dispara卯tre dans la g茅ograp�?https://t.co/YklVDzX4ju",1243641540,k茅k�?kekee_42,2728,76486,,,48.85732479,2.362638
73,1.49E+18,2022/1/27 13:00,2022,1,27,3,13,0,5,"Ready for work that wows? Join our team of creatives at BCD Meeting and Events. https://t.co/mL4T17Am9D #Paris, IDF",33331604,TMJ-FRA Advert. Jobs,tmj_fra_adv,254,410,,48.878562,2.360369
13,1.49E+18,2022/1/26 16:59,2022,1,26,2,16,59,0,Just posted a photo @ Le Marais -Paris 4 ème https://t.co/Ys4wRSjBqM,601354408,audra harris,Audra66Audra,128,63107,,48.857482,2.358922
6,1.49E+18,2022/1/26 15:10,2022,1,26,2,15,10,58,"Love, sex, beauty, nature, being human: the new exhibition of Francesco Clemente @levygorvy in Paris is magnificent�?https://t.co/of1vrAx7Nv",121042325,judith benhamou-huet 居蒂�?judithbenhamou,5346,12377,,,48.86064,2.35616
143,1.49E+18,2022/1/27 19:38,2022,1,27,3,19,38,13,"#JeudiBeuverie (@ Le Quetzal in Paris, 脦le-de-France) https://t.co/qK99ZFTjn6",70417448,Thomas,chelmi62,679,39552,,48.85713,2.355247
58,1.49E+18,2022/1/26 23:26,2022,1,26,2,23,26,37,"Micropigmentation des lèvres, neutralisation

#lovelylips #blackbeauty #paris1er #lipstattoo #since16years�?https://t.co/ChZJ7CKbrC",81081778,MAQUIDERM,maquiderm,876,1384,,48.865191,2.354931
141,1.49E+18,2022/1/27 19:26,2022,1,27,3,19,26,28,To fall in love with yourself is the first secret to happiness. @ Mars https://t.co/8vFxj6moAW,7.69E+17,Muhammad Shoaib Ashraf,xhoaib_axhraf,12,72,,48.835534,2.353346
3,1.49E+18,2022/1/26 14:58,2022,1,26,2,14,58,38,This job might be a great fit for you: Sales Development Representative - https://t.co/NbGRiLWKIa #Sales #SalesStrategy,33112311,TMJ-FRA Sales Jobs,tmj_fra_sales,329,688,,48.856614,2.352222
12,1.49E+18,2022/1/26 16:58,2022,1,26,2,16,58,34,"We're hiring! Read about our latest job opening here: Global Presales Solution Architect - https://t.co/0rXDgNxcK5 #Paris, Île-de-France",38177097,TMJ-FRA Jobs,tmj_fra_jobs,479,754,,48.856614,2.352222
